Metabolite,Model_Metabolite_ID,Conversion_to_Absolute,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
"(N(omega)-L-arginino)succinic acid","(N(omega)-L-arginino)succinic acid [cytoplasm]",NaN,-0.0481511457021173,0.0397886537500515,0.0888188151815772,0.323665251583365,0.217286263164395,-0.124066042555213,-0.225586888705758,-0.152313003658529,0.00369888313314935,0.407522295315866,-0.911275153866209,-0.377741310846269,-0.369018305789682,0.312915385725173,0.449812908570524,1.54337597497212,1.77989618747968,2.0128771681956,1.96134331049314,1.64676722361095,-0.0923148969461148,-0.217339329179093,0.00394674030157019,0.142020042328608,0.229806039046067
"(R)-lactate","(R)-lactate [cytoplasm]",NaN,-0.0428351762071668,-0.641689812558877,-0.743475339941371,-0.57602275170598,-0.253755880760968,-0.834152946919078,-0.641426381098591,-0.503574592715319,-0.793363571188032,0.760867039930329,0.219942980138867,1.26268662793646,0.660400235654605,0.661521191664033,0.924549586192977,0.319554929713591,0.563942152089876,0.704076075135583,0.753332725414121,0.798766659455917,0.216797294660395,0.41369711723989,0.544660836862067,0.771450911295895,0.903274589495282
"(R)-pantothenate","(R)-pantothenate [cytoplasm]",NaN,0.011607057629057,-0.071140946001145,-0.12135520968651,-0.14882532845949,-0.0527528158465743,-0.541051597171085,-0.608018547695966,-0.628355014927143,-0.466052879742787,-0.354782779705582,-0.729195228115804,-0.994875109606002,-0.801828685372467,-0.457976248564251,-0.251717537842747,-1.27371885736983,-1.10539302837121,-0.773083976023164,-0.563376199402351,-0.431250894374489,-0.936017550250129,-0.696034667460031,-0.823457510735765,-0.624418859729898,-0.397386773113728
"(S)-dihydroorotate","(S)-dihydroorotate [cytoplasm]",NaN,-0.153336480745465,1.2798951461812,1.8717968180965,2.99380773366387,3.08757780946958,-1.71138341272056,-1.15227911986948,-0.647548173437375,0.0271175736898332,1.40923238831615,0.746228630256032,0.965152006905927,2.06759951063403,2.84652572211097,2.98724980508442,2.5633523176283,2.95349713696647,2.20699642722653,2.24101175893032,2.2753135112595,8.7142661249928,8.88543390437023,9.0358112838176,8.58095156880383,7.55183460957679
"(S)-lactate","(S)-lactate [cytoplasm]",NaN,-0.0428351762071668,-0.641689812558877,-0.743475339941371,-0.57602275170598,-0.253755880760968,-0.834152946919078,-0.641426381098591,-0.503574592715319,-0.793363571188032,0.760867039930329,0.219942980138867,1.26268662793646,0.660400235654605,0.661521191664033,0.924549586192977,0.319554929713591,0.563942152089876,0.704076075135583,0.753332725414121,0.798766659455917,0.216797294660395,0.41369711723989,0.544660836862067,0.771450911295895,0.903274589495282
"(S)-malate","(S)-malate [cytoplasm]",0.00376498963301021,0.129968257271971,0.23663965766179,0.259777237956216,0.262761909245785,0.190917736850804,-0.0834092459098113,-0.20190439739142,-0.33281667177324,-0.0441278385836135,-1.00512058230704,1.54526379599814,0.283120805367119,0.846000177679948,0.726645175398296,0.48637873320117,0.264312036686691,0.0539458163283509,-0.421253796384463,-0.661995517457513,-0.593451858430976,-0.403638463191397,-0.572040275826736,-0.707481606723296,-0.747951656423501,-0.735865259659944
"1,3-bisphospho-D-glycerate","1,3-bisphospho-D-glycerate [cytoplasm]",NaN,-0.101984391316151,0.67564579160974,1.03845372034522,1.71297908927679,2.06732828395128,0.84013803136081,1.188654066713,1.43190827767203,1.51238396265939,2.40554314344696,1.01108825806868,1.36259489148396,1.5921398709803,2.09188020841467,2.28400291609834,0.680244353496661,1.04348778724146,1.40265592364029,1.7539751787664,2.01214613615527,0.736343657719725,1.17454987580231,1.49613966500405,1.93940098184972,2.21881738553458
"2-oxoglutarate","2-oxoglutarate [cytoplasm]",0.000960507065796625,0.227900585885015,0.273252614769875,0.0379893422205078,-0.501219832197513,-0.989264695998875,-0.551621060018213,-0.35451581925145,-0.305739074874626,-0.603651622369744,-1.2861184941852,1.73536799886728,1.20844045347492,1.50318787577256,0.956688748537385,0.301646035496978,1.03964334157692,0.0482643627443275,-1.21276295601753,-2.05217000415503,-2.45591142506579,-2.67869298869655,-3.11836168592385,-2.98680178605875,-2.89454880866689,-2.77745224490273
"2'-deoxyadenosine","2'-deoxyadenosine [cytoplasm]",NaN,0.0270627770609211,0.00514261991596466,-0.315647280352401,-1.02995224319795,-1.52616652705771,-1.45697143156743,-1.03699542765614,-0.758260403757176,-1.40876671914687,-0.633133806134896,-1.98465892974012,-0.57175484116268,-1.05391553032488,-1.34446474267596,-1.62679748818327,-0.609875784782012,-1.33352644788674,-1.83338112647046,-2.22906005564262,-2.73369324454352,-2.12692781613224,-2.23482393168651,-2.0464405837299,-1.99318629858758,-2.00387184372746
"2'-deoxyguanosine","2'-deoxyguanosine [cytoplasm]",NaN,0.0780846536214067,-0.715992078085493,-1.23137462537785,-2.08097661804217,-2.45731046696132,-2.39931279329383,-2.52456167177849,-2.55261579448985,-2.74797703035545,-2.49846285734603,-3.25227490958848,-2.75000488913388,-3.08624193491422,-3.00028994981917,-2.93829761423686,-2.29960300806154,-2.61037345502829,-2.5556984490387,-2.71812934615043,-3.0621152945366,-3.00132445071773,-3.05950814627796,-3.31401784127456,-3.30416024597115,-3.18575748480859
