Row,rMat_producing1,rMat_producing2,rMat_producing3,rMat_producing4,rMat_producing5,rMat_producing6,rMat_producing7,rMat_producing8,rMat_producing9,rMat_producing10,rMat_producing11,rMat_producing12,rMat_producing13,rMat_producing14,rMat_producing15,rMat_producing16,rMat_producing17,rMat_producing18,rMat_producing19,rMat_producing20,rMat_producing21,rMat_producing22,rMat_producing23,rMat_producing24,rMat_producing25,rMat_producing26,rMat_producing27,rMat_producing28,rMat_producing29,rMat_producing30,rMat_producing31,rMat_producing32,rMat_producing33,rMat_producing34,rMat_producing35,rMat_producing36,rMat_producing37,rMat_producing38,rMat_producing39,rMat_producing40,rMat_producing41,rMat_producing42,rMat_producing43,rMat_producing44,rMat_producing45,rMat_producing46,rMat_producing47,rMat_producing48,rMat_producing49,rMat_producing50,rMat_producing51,rMat_producing52,rMat_producing53,rMat_producing54,rMat_producing55,rMat_producing56,rMat_producing57,rMat_producing58,rMat_producing59,rMat_producing60,rMat_producing61,rMat_producing62,rMat_producing63,rMat_producing64,rMat_producing65,rMat_producing66,rMat_producing67,rMat_producing68,rMat_producing69,rMat_producing70,rMat_producing71,rMat_producing72,rMat_producing73,rMat_producing74,rMat_producing75,rMat_producing76,rMat_producing77,rMat_producing78,rMat_producing79,rMat_producing80,rMat_producing81,rMat_producing82
(1->3)-beta-D-glucan [cytoplasm],-0.530727064202067,0,0,0,0,0,0,0,0,0,0,0,0.238283593244809,0.238283593244809,0.320238763795318,-0.163606698671325,-0.512667876017947,-0.512667876017952,-0.518208941234402,-0.518208941234403,-0.518208941234403,-0.518208941234403,-0.518624950033711,-0.518624950033993,-0.518624950033605,-0.518624950033171,-0.51862495003347,-0.518624950033602,-0.518624950033602,-0.518624950015772,-0.518730836316721,-0.518730836328196,-0.51873083631828,-0.518730836314237,0.084887593146691,0.0924437070950326,0.0924437070761313,0.092443707078293,0.0962699434714959,0.120688653973848,0.120688654015302,0.121814498659448,0.142928359733124,0.142928359741237,0.142928359718721,0.150050878338404,0.150050878351964,0.169321197565071,0.169321197577539,0.226584883897537,0.282535556831927,0.228762261234315,0.258330437033405,0.242739210441158,0.284405651345314,0.0586329090445707,0.0253849556746562,0.0166308579617186,0.016630857918916,0.024706363039017,0.0288274436863739,0.0288274436949407,0.0288274436975135,0.0326921946641538,-0.00948126437743676,-0.00948126444907628,-0.0443994983290383,-0.0443994983352515,-0.0443994983270908,-0.00435854470715891,-0.00435854470482586,-0.0117049508326531,-0.0117049508333282,-0.0117049508324634,-0.0117049508288463,-0.01170495083271,-0.0117049508327583,-0.0117049508326483,-0.0117049508325581,-0.0117049508051982,-0.0117049508326372,-0.0117049508327481
L-alanine [cytoplasm],0.296337668964177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165271382643045,-0.0695197937771764,0.220936466177049,0.183460359864662,0.215126570821456,0.215558491917706,0.0351973192729079,0.0351973192743339,0.286160616799452,0.348829253059169,0.424611595979315,0.686076833223387,0.628299355898992,0.628299355900931,0.859231103129487,0.854521027434788,0.854521027427016,0.854575405962547,0.937870644284244,0.937870644283829,0.952936925463611,0.95293692545203,0.952936925458635,0.92114003993279,0.921140039937989,0.910217370294527,0.910217370292195,0.910217370287647,0.910217370292479,0.836934606925392,0.836934606931119,0.836934606930344,0.836934606925977,0.679033430607781,0.679033430633814,0.679033430613895,0.679033430617897,0.764837789826615,0.764837789826181,0.811554161153919,0.811554161153529,0.811554161156012,0.811554161153372,0.811554161153391,0.811554161152448,0.811554161153726,0.811554161152156,0.811554161153322,0.811554161152351,0.811554161153333,0.811554161151588,0.811554161152452,0.811554161153351,0.811554161152709,0.811554161153326,0.811554161153351,0.811554161153604,0.811554161153104,0.811554161153473,0.811554161153205,0.811554161153114,0.811554161153114,0.81155416115344,0.811554161153334
ATP [cytoplasm],0.22262736464278,0,0,0,0,0,0,0,0,0,0,0,0,0.801713614666353,0.771556782111632,0.778664080752664,0.695661658570852,0.734413236473055,0.701298225540976,0.574409236867685,0.589113266472145,0.572180460646954,0.573633091241795,0.626796295055242,0.129687275460474,-0.0225939055930205,-0.189928870870849,-0.183088501616473,-0.15724741535683,-0.156480069486905,-0.147213361083363,-0.140851971268354,-0.142315762469341,-0.136366835923244,-0.178619548447231,-0.179827067144421,-0.179827067408973,-0.179827068596538,-0.179827066921761,-0.179827067162254,-0.179827067480239,-0.179827067342571,-0.179827067435957,-0.14077298986462,-0.106283027979855,-0.106283027930582,0.147554569204133,0.147554569174897,0.176304375196301,0.164126395764784,0.164126396443885,0.164126395763224,0.134980329166592,0.134980329177464,0.134980329129889,0.134980329163327,0.134980329287626,0.134980329113633,0.134980329136044,0.13498032921172,0.134980329080648,0.134980329183567,0.134980329137864,0.134980329070691,0.134980329195423,0.134980329166752,0.134980329171511,0.134980329171511,0.134980329171511,0.134980329171511,0.134980329165857,0.134980329186272,0.134980329171858,0.134980329171858,0.134980329171858,0.134980329171858,0.134980329148298,0.134980329148298,0.134980329148298,0.134980329148298,0.134980329148298,0.134980329148298
L-arginine [cytoplasm],0.755580636696001,0,0,0.748450952737284,0.748450952737284,0.787632354646546,0.787632354646546,0.787632354646546,0.797084985110732,0.797084985110732,0.489058808073221,0.494217305959913,0.672425248554666,0.71412877296797,0.733685144063042,0.74638413336578,0.74646792838367,0.741062417323282,0.736487247358641,0.768840992445992,0.768840992449339,0.768840992475963,0.800486205746007,0.826536589036892,0.805992676074853,0.806628721387781,0.806628721388061,0.820164263010165,0.81422305804313,0.799421204562909,0.745928260947477,0.73429171348476,0.718569852493744,0.734534916326146,0.735796360410638,0.733933525700848,0.822364619478301,0.820957429103002,0.8317082936354,0.788288290040941,0.786307747389203,0.826122786709503,0.846514825521677,0.84539642296251,0.858825326217949,0.844259597113394,0.851867873038588,0.768358221722411,0.769933716541476,0.775328722497187,0.776407826473154,0.741406304916936,0.740124685639178,0.740124685854097,0.767786228886559,0.764176851701536,0.773379064439159,0.895011581386157,0.895011581369139,0.895011581395403,0.895011581276365,0.895011581186813,0.892005485301069,0.89200548529995,0.892005485303831,0.87371979909833,0.873719799098557,0.873719799096617,0.873719799095848,0.873719799107639,0.873719799096778,0.873719799094757,0.873719799095048,0.873719799097523,0.873719799097568,0.873719799097522,0.873719799091768,0.873719799097492,0.873719799097172,0.873719799096731,0.873719799098881,0.873719799096986
L-asparagine [cytoplasm],0.183274470253576,0,0,0.142022528306585,0.142022528306585,0.142022528306585,0.142022528306585,0.142022528306585,0.142022528306585,0.142022528306585,0.142022528306585,0.142022528306585,0.165321484938362,0.165321484938365,0.184451494176881,0.184451494176881,0.193737128294601,0.190835323303094,0.190835323303093,0.190835323303093,0.243439320453093,0.240551543738434,0.138217464138718,0.0694730527454395,0.0716007653561565,0.0700763943624495,0.0571734151013086,0.0571734150990029,0.0571734150993363,0.079608967810678,0.0796089678128587,0.0796089678118138,0.0120177222845613,0.147722835976144,0.134645242557405,0.10442347104209,-0.000713271828706951,-0.00451807014560041,-0.0934569992332788,-0.0317289910949898,-0.308104022957173,-0.321805506828882,-0.282911638883682,-0.282198006044271,-0.292229082752941,-0.29783059798523,-0.297830598039313,-0.205645307268068,-0.205645307304888,-0.237246227627007,0.111488904203262,0.111488904249659,0.111488904243528,0.111488904218749,0.118396922733357,0.118396923499852,0.118396923480193,0.118396923471142,0.118396923468315,0.118396923467333,0.116264029427349,0.116264029407407,0.116264029410885,0.0997026127213973,0.0997026126264449,0.0997026127219151,0.0997026127182918,0.099702612713648,0.0997026127206636,0.0997026127207943,0.0997026127207872,0.0997026127203136,0.0997026127204487,0.0997026127210653,0.0997026127197717,0.0997026127177324,0.0997026127177324,0.0997026127207706,0.0997026127207958,0.0997026127207958,0.0997026127213147,0.0997026127213147
L-aspartate [cytoplasm],0.27477499177632,0,0,0,0,0.45917584577029,0.459175845770326,0.459175845770326,0.49534641106761,0.49534641106761,0.49534641106761,0.606059377099308,0.606059377099308,0.361678828471707,0.183651835723362,0.180205335757367,0.184997462460672,0.184997462460986,0.181144382779991,0.181144382779886,0.181144382779991,0.181144382779991,0.181144382779991,0.181144382779991,0.181144382779991,0.181144382779949,0.181144382779991,0.378795159373214,0.596365644299582,0.645468528819423,0.579315440872537,0.545861293596867,0.567918845370074,0.562982516278918,0.45864644551227,0.433008458399942,0.457353568877395,0.406711528039146,0.406590155922599,0.314509936527743,0.314509936546134,0.208640579289993,0.129844617930317,0.276717261310748,0.0686503361916331,0.0686503361925202,0.0669483561950443,0.0566779189142364,0.056677919255293,0.0566779192131788,0.0566779191949687,0.483086452020628,0.483086452024498,0.483086452035525,0.368822524921978,0.340968132147434,0.340968132145434,0.340968132153837,0.340968132159055,0.340968132148398,0.34096813214244,0.3409681321453,0.340968132144263,0.340968132145349,0.340968132143743,0.340968132145084,0.340968132144881,0.340968132145921,0.34096813214501,0.340968132144378,0.340968132144378,0.340968132146932,0.340968132145755,0.340968132145755,0.340968132144136,0.340968132143864,0.34096813213829,0.34096813213829,0.340968132143904,0.340968132145433,0.340968132145915,0.340968132145724
CTP [cytoplasm],-0.400822327536402,0,0,0.0195181768217724,0.0195181768217724,0.0195181768217724,0.0195181768217724,0.0195181768217724,0.0195181768217724,0.0195181768217971,-0.401896640906451,-0.401896640906451,-0.401896640906371,-0.401896640906371,-0.40189664090209,-0.40189664090209,-0.40189664090644,-0.338286356165231,-0.338286356165702,-0.286459184097271,-0.286459184097387,-0.286459184097096,-0.286459184097349,-0.231233574287396,-0.231233574285889,-0.233194444624599,-0.162778279024922,-0.135383563417139,-0.153417797326016,-0.119377283410199,-0.142309061966012,-0.112053448072764,-0.114173842606925,-0.151535249256495,-0.150211043299894,-0.130116381053024,-0.132824536227258,-0.128671771665093,-0.139457159476424,-0.147446806767584,-0.155441712574149,-0.156098235995057,-0.153003016569963,-0.153250663332993,-0.149271666866636,-0.149271666867371,-0.152444000027156,-0.152444000019671,-0.155232083765085,-0.157259067803179,-0.15509367011249,-0.156357438395042,-0.156357438393874,-0.156357438393986,-0.157469709700703,-0.157469709702905,-0.157469709700953,-0.15746970970094,-0.157469709700917,-0.157469709700739,-0.157469709700308,-0.157469709700828,-0.157469709700996,-0.157469709701013,-0.157469709700765,-0.157469709701735,-0.157469709700416,-0.157469709701017,-0.157469709700878,-0.157469709700879,-0.15746970970081,-0.15746970970081,-0.15746970970081,-0.15746970970081,-0.157469709700878,-0.157469709701098,-0.157469709700878,-0.15746970970157,-0.15746970970157,-0.15746970970157,-0.15746970970157,-0.15746970970107
L-cysteine [cytoplasm],-0.298855898738374,0,0,0,0,0,-0.0389881793640114,0.0442297665425492,0.0442297665427921,0.0442297665425578,0.0442297665427646,0.110513632768006,-0.412557590167805,-0.363118271447521,-0.333424765558144,-0.333424765558089,-0.267698972606487,-0.156996323497099,-0.145042767034649,-0.145042767034649,-0.158206244469178,-0.149431470616198,-0.129850974861301,-0.130476410289076,-0.112700248043352,-0.112700248061585,-0.0593147786739248,-0.0593147787040826,-0.0593147782831157,-0.0593147786846451,-0.0907451590301586,-0.169408828000445,-0.16940882800192,-0.253326579831355,-0.2533265798613,-0.253100370046837,-0.216885709526461,-0.246772232037988,-0.246772232027255,-0.241223701495918,-0.242102635339854,-0.246796078588905,-0.109515553055389,-0.109515553035311,-0.10951555318285,-0.108700480488349,-0.108700480497859,-0.125376549390104,-0.125376549388843,-0.100741292035083,-0.100741292041738,-0.100741292025708,-0.100741292029631,-0.100741292034184,-0.100741292030345,-0.100741292701133,-0.100741292032254,-0.100741292031808,-0.100741292031884,-0.100741292026995,-0.100741292032419,-0.100741292031227,-0.100741292032096,-0.100741292032038,-0.100741292032983,-0.100741292032096,-0.10074129203383,-0.100741292036214,-0.100741292031887,-0.100741292032283,-0.10074129203263,-0.100741292032183,-0.10074129203242,-0.100741292025497,-0.100741292032254,-0.100741292031934,-0.100741292032096,-0.100741292031442,-0.100741292032082,-0.100741292031982,-0.100741292031882,-0.100741292031629
dATP [cytoplasm],-0.385824762702161,0,0,0.123049714454488,0.123049714454488,0.123049714454488,0.123049714454488,0.123049714454488,-0.218646070766967,-0.218646070766967,-0.218646070766967,-0.383937425832512,-0.383937425832512,-0.383937425832512,-0.383937425832512,-0.383937425832512,-0.383937425832512,-0.383937425832512,-0.383937425832512,-0.383937425832512,-0.383937425832512,-0.383937425832512,-0.26962522093113,-0.269625220926296,-0.12157927595357,-0.121579275957694,-0.0583284918928429,-0.0572110719564671,-0.198544321590642,-0.210173616039825,-0.215779944008148,-0.218133227155218,-0.23197684613765,-0.336886182105646,-0.411367194766005,-0.447930973255997,-0.562448254016271,-0.529634791817606,-0.52963479181847,-0.581539234801062,-0.562210233658185,-0.544037108811816,-0.548887221331665,-0.561520919913872,-0.425300937833235,-0.262721012859735,-0.270295599357839,-0.257243136274981,-0.270713412491003,-0.251226621900678,-0.246424941685202,-0.381984140367144,-0.39091312957949,-0.330029196841651,-0.330029196856518,-0.324093586925693,-0.324093586970985,-0.324093587028591,-0.303657473377044,-0.303657473403582,-0.588858123935877,-0.588858123919876,-0.588858123930836,-0.588858123930488,-0.588858123928743,-0.588858123941804,-0.588858123978113,-0.588858123907487,-0.588858123918333,-0.588858123928204,-0.588858123928861,-0.588858123905823,-0.588858123934569,-0.588858123928381,-0.588858123928928,-0.588858123927775,-0.588858123927775,-0.588858123928667,-0.588858123928667,-0.588858123928667,-0.588858123928667,-0.588858123928667
dCTP [cytoplasm],-0.428098463766316,0,0,0.113622350950665,0.113622350950665,0.113622350950665,-0.218610779487562,-0.218610779487562,-0.218610779487562,-0.218610779487562,-0.272830155865175,-0.398122350913504,-0.398122350913202,-0.398122350913202,-0.546198589348198,-0.546198589348708,-0.546198589348149,-0.149503770045467,-0.149503770045467,-0.149503770044699,-0.149503770045524,-0.149503770045492,-0.149503770045375,-0.149503770045373,-0.38807844605588,-0.388078446055822,-0.53014819530227,-0.530148195302245,-0.530148195302242,-0.530148195300768,-0.582294507321174,-0.582294507324052,-0.643503598693646,-0.498617709616024,-0.498617709615898,-0.505445576267269,-0.447494769811837,-0.430336529791576,-0.420938279350583,-0.436724847365255,-0.442457004644134,-0.457898383284712,-0.509854953172556,-0.519613746951007,-0.522553074009035,-0.50211060793498,-0.502902890319116,-0.478341119744891,-0.478341119731258,-0.479537325912085,-0.479660690460561,-0.479660690460989,-0.477078077594979,-0.472703719314418,-0.472703719315426,-0.472703719314735,-0.47270371931411,-0.472703719314398,-0.470719472676063,-0.470719472676523,-0.470719472676401,-0.470719472645804,-0.470719472673785,-0.470719472676414,-0.470719472676437,-0.470719472676216,-0.470719472681883,-0.470719472681883,-0.470719472681883,-0.470719472676448,-0.47071947266509,-0.470719472676539,-0.470719472676539,-0.470719472676539,-0.470719472676539,-0.470719472676086,-0.470719472676086,-0.470719472676086,-0.470719472676086,-0.470719472676086,-0.470719472676086,-0.470719472676086
