Row,cstm_PPK,r_0016,r_0023,r_0025,r_0027,r_0029,r_0032,r_0039,r_0040,r_0042,r_0060,r_0061,r_0065,r_0079,r_0091,r_0096,r_0097,r_0109,r_0112,r_0115,r_0118,r_0151,r_0152,r_0153,r_0154,r_0173,r_0175,r_0195,r_0202,r_0203,r_0207,r_0208,r_0211,r_0214,r_0215,r_0216,r_0219,r_0225,r_0250,r_0279,r_0280,r_0300,r_0302,r_0307,r_0309,r_0310,r_0352,r_0353,r_0361,r_0364,r_0450,r_0451,r_0466,r_0467,r_0468,r_0471,r_0473,r_0476,r_0485,r_0486,r_0489,r_0491,r_0505,r_0514,r_0528,r_0536,r_0538,r_0542,r_0545,r_0547,r_0548,r_0563,r_0564,r_0565,r_0566,r_0568,r_0570,r_0658,r_0663,r_0669,r_0697,r_0699,r_0713,r_0718,r_0722,r_0723,r_0727,r_0759,r_0770,r_0773,r_0799,r_0800,r_0811,r_0813,r_0816,r_0818,r_0821,r_0831,r_0832,r_0855,r_0883,r_0886,r_0887,r_0888,r_0889,r_0891,r_0892,r_0893,r_0902,r_0908,r_0909,r_0910,r_0911,r_0912,r_0914,r_0915,r_0918,r_0957,r_0958,r_0959,r_0961,r_0962,r_0970,r_0971,r_0973,r_0984,r_0988,r_0989,r_0990,r_0996,r_0997,r_1022,r_1026,r_1027,r_1038,r_1041,r_1045,r_1049,r_1050,r_1051,r_1054,r_1055,r_1072,r_1074,r_1088,r_1136,r_1574,r_1667,r_1838,r_2115,r_2132,r_2140,r_2141,r_2197,r_2199,r_4039
cstm_PPK,-0,0.00401105233199171,-0,-0,-0.00325405454796806,-0,-0.011126035343897,0.0355469235896946,0.0350527617262395,0.0172620316961127,-0,-0.0020876463892555,0.0353803214033734,-0.00187135557776012,0.00529904231358353,-0,-0,0.00259824527459239,-0,0.033911838304574,0.0347480286248565,0.0725686675320566,0.0634079027955447,0.000754580189071682,-0,-0,0,-0.0322280950379765,0.00246328380660669,0.00375924695973996,0.0218171904957648,0.0419148163944991,0.00426299344433508,-0.00556061895346288,-0.00519700923340731,0.0167066315287395,0.00894256188616805,-0.00430623123819824,-0.0023613291855044,-0.00664351105257271,-0,-0.0104005607745878,-0,-0,-0,-0,-0,0.0045406344012208,-0,0,-0.031317637464257,-0.0118861017570973,0.0374545949107743,-0.0329297716309073,0.0272777440223443,0.0251134700336895,0.0103216279901936,0.00680964638465037,-0,-0.0343836277437261,-0.0442627812412361,-0.0300453360390629,-0.000897904220961776,-0.0426641295131343,0.00293438689509237,0.04641232275177,0.0708475734886088,-0.00397197078565752,-0.00747078195940689,0.0167226728131765,0,0.0778864431175792,0.0470550772043889,-0.0290977087118325,0.00321424146215144,0,0.0763527440298337,-0,0.0200632243092288,0.00915340989873329,-0,-0,-0.0124373291276274,0.0386428552880966,-0,-0,0.0254601857333323,0.0344625798806092,-0,-0.00470088450266393,-0.0163502891392407,-0,-0,-0,0.0296901739043374,0.0187990255301407,0.0339870134008245,-0.0106536902360403,-0.00676588746398834,0.00708059553244466,-0,-0.0317739858109572,-0,-0,-0.0108855194996982,-0,-0.0276796328612896,-0.0283053400712793,-0,0.0677225603463927,0.0421628538651751,0.0440871260323131,0.079197382019855,0.0801657702212694,0.00699487101255373,0.0496157094219833,0.0159824091059599,-0,0.00319676988843608,0.0147353150027279,-0.00875069400514142,-0.0347788060632826,-0,-0,-0,0,0.00891683395942728,0.00901278478084018,-0,0.0349207388962447,0.0350717611546905,0.000106517135699368,0,-0,0,0.00302388608184907,-0,0,-0.0070905721779606,-0.0322813453563435,-0.053332042124585,0,-0,-0.00250240258538376,0.0208214863427449,-0,-0,0,0.00818258610220591,-0,-0,-0,-0,0.00467154972725479,0.0013420028340692,0
r_0016,0,0.034315280743968,-0,-0,0.020325453151501,-0,0.0179232706372559,0.224807066876684,0.224345507722942,0.0625073168071728,-0,0.00660569463510077,0.224482123665449,0.22893433310033,-0.00468640525317615,0,0,0.0239168568354147,0,0.0212299784156347,0.0542382697146165,0.395892036219739,0.304483569534468,0.358598654852844,0,-0,-0,0.242917892862476,0.00422937417016474,0.021855614687318,0.013839511649324,0.0872615289977943,0.0268597530755661,0.0151131165847257,0.0245589022967355,0.0261661316717615,0.056728521902705,0.153486443179748,0.000133235438988943,0.166726325870098,0,0.00348291528368516,0,0,-0,0,0,0.0244205751556687,-0,-0,-0.00688613755376254,0.00448439235082818,0.00153328906275432,-0.00339316742530975,0.41598037696721,0.0091669444200277,0.0738681277382816,-0.00268002614335435,-0,-0.00573255226564096,0.00647015133234205,-0.0106007980442285,0.00102744819061958,0.123457439321979,0.0683938425846712,0.152136632866353,0.073134784600299,0.0507797267244189,0.156280948318862,0.0464667907660009,-0,0.143975022004531,0.100561236339448,0.0629951288562848,0.0157380671279911,0,0.156702242358339,-0,0.0531559904041306,0.0379678213257983,0,-0,0.0062928711839028,0.207162206233631,0,-0,0.274123490363157,0.0210965603601229,0,0.00822893202499587,0.000600716039180469,-0,-0,0,0.0941217812232144,0.0535733461016919,0.0283401278204091,0.00795212296003763,0.00606626440808204,0.368412099204311,-0,-0.00337383786881503,0,-0,0.00351902363177766,0,-0.00225911956494693,0.000901413324865226,-0,0.295507388740014,0.15178210802808,0.152246765373561,0.138939123911219,0.156154289566863,0.369535931462214,0.335746265136575,0.0824513674166115,-0,-0.0298124934702429,0.0217854801597259,0.00624566335899385,-0.00276386001914796,0,0,0,-0,0.12832189889125,0.185416435435925,0,0.224488167121938,0.224038018565847,0.0147389835584869,0,0,-0,0.0628904417301786,0,-0,0.00341643708849169,0.239575895535228,-0.0101519457155481,0,0,-0.00906878586338699,0.0952930074146465,-0,-0,-0,0.0869790788103189,-0,0,0,0,0.00240913176603923,0.00336194201299982,-0
r_0023,-0,0.0430283930330662,-0,-0,0.0057529889571174,-0,0.0232682295359265,0.330407710422665,0.328542499704258,0.287834636310982,-0,0.0854801899388945,0.329644849905486,0.0389791846621286,-0.0177309838579212,-0,-0,-0.00404626797404881,-0,0.317502960062787,0.354053986171143,0.108001093005708,0.190230243717845,0.173993718511119,0,0,0,0.0104446921029968,0.00319540701382662,0.011042244446205,0.282524452406754,0.371522643911176,0.0121655992499964,0.0303114703999811,0.0279573604938741,0.0383536673782436,0.0516763250766673,0.251779991361143,0.00206973853294035,0.285644915715457,-0,-0.0218203655615372,-0,0,0,0,-0,0.0363694519020001,0,-0,0.00487404853591756,-0.00312788007847134,0.0244228278251319,-0.00797647559095387,0.0379917003459093,0.00383162645468995,0.0391402151216684,-0.000229349717754696,0,-0.00284628840372309,0.107384498037498,0.0389158198608258,-0.000320313315664251,-0.0352008101949103,-0.00855418541966349,0.459544631898968,0.415019553353998,0.0051236353445381,0.00369321706151285,0.0136173974589942,-0,0.49658569176957,0.276820045263441,-0.021970275507457,0.00871893698147686,-0,0.118797334666698,0,0.0550174864223378,0.0468476116185342,-0,-0,-0.0102799983502949,0.327903893256306,-0,-0,0.037439605220599,0.319729277499753,0,-0.00388889765471822,0.0290414397869371,-0,-0,0,0.320650291459149,0.384058679402737,0.0679707082609584,-0.00735087808850538,-0.0038729059242735,0.0371474981351249,-0,0.0291378795688684,0,-0,-0.0116400754250284,-0,0.00115790313555568,-0.0016120371848665,-0,0.104495773194818,0.46473874534999,0.463637115807983,0.0588753055121167,0.119589169795468,0.0364979974092248,0.133647573859787,0.0729624804696033,-0,-0.0039616342772787,0.0408428524013344,0.00475265680083287,-0.00932499565519533,0,0,0,0,0.0225831014436066,0.00760372036643599,0,0.330002116764518,0.328280468129211,0.00371211556863742,0,0,-0,0.0442296486993026,0,-0,-0.00988567965251882,0.00963493000487883,-0.00371019529657238,0,-0,0.00467888014029883,0.147089697857862,-0,-0,0,0.0213491892860425,-0,-0,-0,-0,-0.000693417965663314,0.0002875903886098,0
r_0025,-0,0.0433124473145153,-0,-0,0.00591041571171369,-0,0.0233175983982114,0.331866656738691,0.329972686445391,0.288605093411196,-0,0.0857420540476454,0.33107229727015,0.0394331505313059,-0.0180858064678284,-0,-0,-0.0040647481575402,-0,0.318031675485748,0.354689102804274,0.109488064747821,0.191509456777344,0.174671395060184,0,0,0,0.0106719027265106,0.00325162191744384,0.0112140862297528,0.282481854710365,0.372019553168067,0.0123656196166801,0.0313226016407677,0.0281322592959571,0.0381905029670255,0.0521301652498643,0.25253801402722,0.00219735378287553,0.286681920582053,-0,-0.0218766127633573,-0,0,0,0,-0,0.0366301407299649,0,-0,0.00455622464389169,-0.00304156020796484,0.0247237060518626,-0.00818538535253143,0.0387017752928004,0.00395996844315465,0.0395694101183405,-0.000199848884060038,0,-0.00328704188841326,0.106381824054391,0.0376677716219304,-0.000311581593469401,-0.0352044117822501,-0.00857189009761985,0.460399533558729,0.416052421067598,0.0053087773019257,0.00392513111184353,0.0137333762167066,-0,0.497752475842722,0.277464225048202,-0.0221218252949614,0.00885377057286492,-0,0.119810536075307,0,0.0554149575882745,0.0471764658894623,-0,-0,-0.0102400816214963,0.328659526516574,-0,-0,0.038191557868606,0.320252259492285,0,-0.00383434153055389,0.0289573153258262,-0,-0,0,0.321099136177167,0.38427838003191,0.0685706007501842,-0.00733432431597033,-0.00387531432867735,0.0377283783749859,-0,0.0282872903516499,0,-0,-0.0117517021168467,-0,0.000893608609332728,-0.00177167912904876,-0,0.105791397056355,0.465616169934719,0.464507411870467,0.0597308194132164,0.120602026185774,0.0370721196518013,0.134977449079002,0.0734554706542514,-0,-0.00401422322285707,0.0399106916801506,0.00468882806448489,-0.00955813111690423,0,0,0,0,0.0230372608917078,0.00801301012439497,0,0.33143759784761,0.329675431334655,0.00384319635239952,0,0,-0,0.0446387085772897,0,-0,-0.0101033002519406,0.00984463146011948,-0.00406570587099739,0,-0,0.00454011581306232,0.147889448889031,-0,-0,0,0.021719427422976,-0,-0,-0,-0,-0.00067404024942634,0.0002788470714301,0
r_0027,0,0.012241584471938,-0,0,0.0191712120175684,-0,0.00379445723222897,0.145088190165363,0.144829782338541,0.0014260952884102,-0,0.00140678473696028,0.144896146827696,0.183165664013542,-0.00294577044851261,0,0,0.0195198294836085,-0,-0.0108898297545198,0.00972179275468896,0.340157993274441,0.235633725088139,0.268572205665215,0,-0,0,0.211229598030386,0.00113460602580526,0.0102355307021394,-0.0157564875619591,0.0285271155260907,0.0123874460774456,0.0139775834163579,0.00624634158094551,0.0154097597956462,0.0292810703613354,0.0770852035616398,-4.99116867504175e-07,0.0881120132008723,-0,-0.000360960560217424,-0,0,-0,0,0,0.00594327222177164,-0,0,-0.00485535283707057,-0.00148987080973333,0.000967886370965609,-0.00125932851301695,0.412895655214341,0.0079134074442121,0.0467647027956078,-0.00238949637318339,0,-0.00112430148654795,1.77023057617324e-05,0.000179089255517293,0.000604547924283794,0.121900232619119,0.058398904656203,0.0634897558145791,0.00707906370189456,0.0444558036020355,0.181358781898956,0.0327522926730215,-0,0.0618128217421127,0.0574703184818114,0.0658407716381551,0.00637116690414166,-0,0.10720606072021,-0,0.0221131991341296,0.0174824506686392,0,-0,0.00126420814519263,0.114905238874642,0,-0,0.237429078567181,-0.0107788828181253,0,0.00389906063631578,-0.00397986449036496,-0,-0,0,0.0326158941413167,0.00374725187316569,0.0129860433026293,0.00324201417881541,0.00244643683387097,0.320767186304326,-0,0.00844500120770976,-0,-0,0.00878898625186885,0,0.000671918943733137,0.0102167552107129,-0,0.226448905884311,0.0629916365052253,0.0633238100548281,0.108681967584254,0.106747765061626,0.322121311483675,0.251915087611685,0.0451155322628766,-0,-0.0225557025664484,0.0572703046214042,0.00655803146238239,0.00679740801224219,-0,-0,-0,-0,0.108147061757392,0.189010498917653,0,0.144850456558239,0.144588358628515,0.0021108177301878,0,0,-0,0.0317452662844425,-0,-0,0.00381881224176695,0.208907638084937,0.00113299287816467,-0,0,-0.00384337817059225,0.0423264869022138,-0,-0,-0,0.0625889116413237,-0,0,0,0,0.00177630179691185,0.00377122396323686,-0
r_0029,-0,0.0433697607389215,-0,-0,0.00592600844462774,-0,0.0232667902928269,0.331838831307311,0.329902525150767,0.288464767218825,-0,0.0859048511889803,0.33099851707628,0.0391854246036537,-0.0180526972671855,-0,-0,-0.00399417543518257,-0,0.318211654014559,0.354771271438843,0.109722058152613,0.191528884305219,0.174457160961534,0,0,0,0.0106809492682235,0.00326536973427555,0.0112664331367373,0.282803120776116,0.371857633403855,0.012413579330892,0.0305314390386514,0.0281294189633483,0.038481243639273,0.0522334655982536,0.251950972863319,0.00208910959310148,0.286567087746731,-0,-0.0219391985520366,-0,0,0,0,-0,0.0366750484633616,0,-0,0.00431382321853308,-0.00317007587872944,0.0248247914650481,-0.00839731770891423,0.0389339620559874,0.00426984800746745,0.0396575566382361,-0.000227557985863049,0,-0.00356113133025683,0.105330794460474,0.0374075548062414,-0.000325546093105294,-0.0354968861728196,-0.00852573319793711,0.459975531739666,0.415995465850847,0.00531877790292933,0.00398409740072157,0.013853484412499,-0,0.49763256593454,0.277049583879447,-0.0222172293147675,0.00889736973909105,-0,0.119596613872376,0,0.0554968714591551,0.0472469077151525,-0,-0,-0.0103361506842694,0.32847483808623,-0,-0,0.0384287258959909,0.320443840928545,0,-0.00394486262461773,0.0289565497805229,-0,-0,0,0.320751220644696,0.384203727455542,0.0686164612006327,-0.00742180624455888,-0.00393782871573935,0.037648508138314,-0,0.0278015188996366,0,-0,-0.011727706732482,-0,0.000697908214868188,-0.0020026209110074,-0,0.105858168644152,0.465183668903786,0.464087743758841,0.0597787915995147,0.120387092610465,0.0370013607731547,0.135224200710318,0.0734885148999841,-0,-0.00406548064088709,0.0397290456648311,0.00473048198122573,-0.00981965464419264,0,0,0,0,0.0231554638156581,0.00806645730011054,0,0.331367975850187,0.329630494318088,0.00377089274494958,0,0,-0,0.044728059974329,0,-0,-0.0100378514719488,0.00985831519749314,-0.00422226392597942,0,-0,0.00458534162061093,0.148061654025827,-0,-0,0,0.0217936622412471,-0,-0,-0,-0,-0.000677898451688426,0.00027612169770154,0
r_0032,-0,0.052118498609039,-0,-0,0.025786891239696,-0,0.0201565528241904,0.187325075460294,0.187839232740405,0.162541386780549,-0,0.00325907506994085,0.187837379543687,0.0529532075827111,0.0145130110330168,0,0,0.00574455912056983,0,0.0286704576515313,0.061112494653662,0.0260377313952858,0.0311665672149091,0.183811247210838,-0,0,0,0.0997079037377075,0.00297608193697482,0.0244786541318788,0.0253598181148334,0.0586121020724274,0.0205401067680062,0.0118826553735421,0.0592466071327178,0.00876409802171325,0.0665550573669434,0.129228358031628,-0.00130150654600326,0.211018977422709,0,-0.000410792143147998,0,0,-0,-0,0,0.0389860800248781,0,-0,-0.0238491769427692,-0.0137484617323232,-0.00508566287900441,-0.023441360576532,0.200459735204087,-0.0590524558306428,0.0545132237218292,0.000375180802247234,-0,-0.0287943961014917,0.03560452188135,0.0135497156270203,-0.00031695321398811,0.0440929770981217,-0.00081502742898218,0.14790527871588,0.0657212820870187,0.00817030518183324,0.107317101887468,-0.0323571155338662,-0,0.135210401717447,0.0930877681893144,0.039022748853355,0.0185060571771185,-0,-0.0494164191816462,-0,0.0262751060311679,0.0535583346441272,0,-0,-0.00554165470823093,0.0769420973172076,0,-0,0.0438551712707425,0.0285135655991191,0,-0.0025275762642306,-0.0128585106798204,0,0,-0,0.068166032653532,0.110985663311695,-0.0577244618265872,-0.00278102009257987,-0.00310697956250812,0.0669995601505249,-0,-0.0220049474813976,0,-0,-0.00273281244134499,-0,-0.0188216918924296,-0.0143763737400301,-0,0.0168763188639192,0.14924937344501,0.148945606862039,-0.0555163203818161,-0.0494786759037763,0.0674184017029001,0.0737692992043582,0.0351160029351852,-0,-0.0226636598039676,0.0164980058673327,-0.00561125211806552,-0.00802225663779292,0,0,0,0,0.0488793990849199,0.00674326095436215,-0,0.188706791024137,0.187799035636603,0.00526345933284787,-0,-0,-0,0.0547655704730428,0,-0,0.0138581048990073,0.0992914481980297,-0.0412221916394418,0,0,0.00870105084564328,0.109441780044936,-0,-0,-0,0.0403805836199579,-0,-0,0,0,0.00367297544404894,0.00160971010254653,0
r_0039,-0,0.100918386561454,-0,-0,0.0402193963793712,-0,0.0601209801659656,0.50858134110766,0.507244008483204,0.354401341686774,-0,0.0380189352935062,0.508116163469746,0.159937191211036,-0.0122611780460604,-0,-0,0.0103968097691868,-0,0.270064374799878,0.318498275835139,0.288550757124598,0.31572490088964,0.428289967612916,0,-0,-0,0.202762903859536,0.0138348027745594,0.0504542607489955,0.260058012281035,0.373919691347433,0.0551255435623171,0.0366346434671099,0.0757902056751446,0.0498771723615719,0.139708510521557,0.353964405118909,0.00120848051508554,0.436455529122774,0,-0.00465597316739051,0,0,-0,0,-0,0.0825991312671596,-0,-0,0.00217129856522419,0.00292228982827586,0.0103357415464078,-8.23703324701551e-05,0.331467903751418,0.00410172955771669,0.134023849516729,-0.00246032691214259,0,0.0003212697257333,0.0626215174816257,-0.011896602772137,0.000489950543528784,0.0303270625974049,0.0233947484641439,0.506357351918461,0.396796211192096,0.0502744090581475,0.099649424149239,0.0385726428580572,-0,0.535218001389184,0.309062698880867,0.0141665765355026,0.0396881909831512,0,0.153668524386199,-0,0.124242866522715,0.108377277255765,-0,-0,0.00159690935914505,0.438571733032682,-0,-0,0.240731449793922,0.270629406395209,0,0.00310943081143437,0.0146863916887883,-0,-0,0,0.336473341899073,0.365256170224407,0.0438195689932386,0.00272091213811105,0.00277993884183357,0.217478827330015,-0,0.00318707635339291,0,-0,-0.0118845097430675,0,0.000432005216206096,-0.000126869412063539,-0,0.24219819107237,0.507477261638625,0.507968349535112,0.105010357638352,0.154195757361459,0.217114740570014,0.317599896787835,0.156641475218757,-0,-0.018548447716592,0.000101700463189746,-7.5368714585269e-05,-0.000921155509514596,0,0,0,0,0.151287552786935,0.101518404008992,0,0.50825962765084,0.506571577727863,0.0097024193823078,0,0,-0,0.117330022200813,0,-0,5.51828341238569e-05,0.200154059763698,-0.00043473783251807,0,0,-0.00728514911320405,0.271538774330812,-0,-0,0,0.114395445472527,0,-0,0,0,0.00184126394324138,0.00130818937715309,-0
r_0040,-0,0.100858408027691,-0,-0,0.0399428384339834,-0,0.0603657261589244,0.507244008483204,0.506040272343517,0.354388224069018,-0,0.0381749271192525,0.506916383404121,0.160914414669061,-0.0118606799878715,-0,-0,0.0101247018149946,-0,0.268576184789257,0.316558597391656,0.28694441651851,0.314562206259409,0.42806696079005,0,-0,-0,0.202393446698736,0.013806277221879,0.0503764533430323,0.258333769624098,0.372699177648549,0.0550643894990937,0.0379935562126678,0.076012818999608,0.0490929494906923,0.139430650650648,0.35476336659842,0.00126984570430909,0.436453592628472,0,-0.00439354788872653,0,0,-0,0,-0,0.0825212396671429,-0,-0,0.00224381797384495,0.00312769661653045,0.0100073390668082,-4.88120727345441e-05,0.332718368826565,0.00306136234833503,0.133883000972096,-0.0023342994171121,0,0.000362097378076304,0.0642938957223317,-0.0112724767314329,0.000522489376600775,0.0310941902473695,0.0231508325051732,0.505839673665707,0.396009396651293,0.0498447094136058,0.0983778771314121,0.0380764253121806,-0,0.533941856043537,0.308603568767662,0.0142451639573674,0.0396412698130389,0,0.153449083630661,-0,0.123900582472779,0.108288437804563,-0,-0,0.00182587535415188,0.437933180219316,-0,-0,0.239656115017979,0.269126458104157,0,0.00335908852061613,0.0147087468876684,-0,-0,0,0.336216007445158,0.364017288994313,0.0429785416089087,0.00307826144137732,0.00304283372800816,0.217409999705068,-0,0.00340357076906914,0,-0,-0.0121292853635123,0,0.000505788803689168,-7.84321492039315e-05,-0,0.241950476797299,0.506992422152623,0.507451909060749,0.104530750036354,0.15395914805707,0.217034914093799,0.316885194129353,0.156403155718084,-0,-0.0186596737224043,0.000109286106673754,-5.05992687459294e-05,-0.000754006753823493,0,0,0,0,0.150580947084304,0.100197679028482,0,0.507020555103802,0.505345223150876,0.00998112210734666,0,0,-0,0.117013739302343,0,-0,0.000158475130277736,0.19977688917596,-0.000646122021965978,0,0,-0.00733316424477252,0.271126854745334,-0,-0,0,0.113993527517499,0,-0,0,0,0.0018304359610379,0.00128822037816009,-0
r_0042,-0,0.100940454952039,-0,-0,0.0400239524375028,-0,0.060457300751907,0.508502023414855,0.507278350585925,0.355654127947766,-0,0.0383135835159012,0.508191731732557,0.160193395386832,-0.0119571478043845,-0,-0,0.0101552398159473,-0,0.269667505488945,0.318820951627391,0.286811640529766,0.314922937233653,0.427590957452739,0,-0,-0,0.202025750315604,0.0138212461323111,0.0504425097913281,0.260421746872242,0.374738896479458,0.0551027281838877,0.0372557026111321,0.076095041187877,0.0495725195176261,0.139611428082852,0.355353486328125,0.0012264584600814,0.437089507836678,0,-0.00453484262077307,0,0,-0,0,-0,0.082537964076606,-0,-0,0.00229356897323594,0.0029746158598911,0.0100618952772493,-5.61813097274111e-05,0.331117098140517,0.00282795110396175,0.134035930353486,-0.00242645023401252,0,0.000381960613620403,0.0645354918704495,-0.0110122317382753,0.000502080181519918,0.0306471783332568,0.0232337756304024,0.507956017696464,0.397169640773906,0.0498781900595112,0.0985659495507582,0.0381117394790634,-0,0.535593633860522,0.311553082391018,0.0140013813648263,0.0396813170323818,0,0.153102569489001,-0,0.123891803854611,0.108211781999265,-0,-0,0.00169166965067023,0.439288840107934,-0,-0,0.239337724837319,0.27022624717798,0,0.00316675059054573,0.0147859910878722,-0,-0,0,0.33736107957827,0.366154810211142,0.0421397858526344,0.00286398407266915,0.00285480895175094,0.216744288629879,-0,0.00349057095816882,0,-0,-0.0120708114604682,0,0.000515517916444711,-0.000105045036775898,-0,0.240964447253116,0.5086960728618,0.50933070052929,0.104318153320103,0.153703477925745,0.216333932458157,0.316185225207444,0.156962626308841,-0,-0.0183129304416243,6.78739902294103e-05,-5.80385592864535e-05,-0.000827030649730168,0,0,0,0,0.151023951189515,0.0999112625224112,0,0.508299198447545,0.506634005813708,0.0095890844521952,0,0,-0,0.117197567643353,0,-0,0.00010960539060928,0.199431043145071,-0.000620803543053573,0,0,-0.00722212785907754,0.271187948989075,-0,-0,0,0.114225515195866,0,-0,0,0,0.00181028007169251,0.00127387156937951,-0
