"","formula","GPR","expression_type","flux_type","correlated","predicted_by_default_FPA","PCC_by_target_expression","FDR_by_target_expression","PCC_by_default_FPA","FDR_by_default_FPA","predicted_by_optimal_boundary_FPA","maxPCC","coexpressionPCC","coexpressionPval"
"r_0005","UDP-D-glucose [cytoplasm]  -> (1->3)-beta-D-glucan [cell envelope] + H+ [cytoplasm] + UDP [cytoplasm] ","( YGR032W or YMR306W or ( YLR342W and YCR034W ))","Not measured","High Diversity","No","No",NA,NA,-0.477569141077554,0.0353927370058782,"Yes",0.662143783880268,NA,NA
"r_0007","1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide [cytoplasm]  -> 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [cytoplasm] ","YIL020C","Not measured","High Diversity","No","Yes",NA,NA,0.82474249790573,8.47264708938035e-06,"Yes",0.855256344959707,0.814105966862171,7.38564717805546e-07
"r_0016","2-oxobutanoate [mitochondrion] + H+ [mitochondrion] + pyruvate [mitochondrion]  -> (S)-2-acetyl-2-hydroxybutanoate [mitochondrion] + carbon dioxide [mitochondrion] ","(( YCL009C and YMR108W ) or YMR108W )","Low Diversity","High Diversity","No","No",0.185243841311845,0.509161964175781,0.336013815729111,0.177633512611652,"No",0.361309347631886,0.197697884786622,0.343497463904691
"r_0018","2-oxoadipic acid [cytoplasm] + L-glutamate [cytoplasm]  <=> 2-oxoglutarate [cytoplasm] + L-2-aminoadipate [cytoplasm] ","( YER152C or YGL202W or YJL060W )","Not measured","High Diversity","No","Yes",NA,NA,0.566718685326509,0.00924424951285832,"Yes",0.638746429580811,0.319195634941062,0.119880286765971
"r_0023","2-isopropylmaleic acid [cytoplasm] + H2O [cytoplasm]  <=> 2-isopropylmalate [cytoplasm] ","YGL009C","Low Diversity","Low Diversity","No","No",-0.799697227148376,2.80011459845524e-05,-0.854368915324786,1.66496190639648e-06,"No",-0.799698589673164,-0.791924361000534,2.40201687457776e-06
"r_0025","3-methyl-2-oxobutanoate [mitochondrion] + acetyl-CoA [mitochondrion] + H2O [mitochondrion]  -> 2-isopropylmalate [mitochondrion] + coenzyme A [mitochondrion] + H+ [mitochondrion] ","YNL104C","Low Diversity","Low Diversity","No","No",-0.677299496767698,0.00107617051379543,-0.80183617532235,1.80079776327025e-05,"No",-0.681163139667869,-0.792535988334293,2.32960090873733e-06
"r_0027","homocitrate [mitochondrion]  <=> but-1-ene-1,2,4-tricarboxylic acid [mitochondrion] + H2O [mitochondrion] ","YDR234W","High Diversity","High Diversity","No","Yes",0.138460145953875,0.630466412815849,0.477216554543507,0.0353927370058782,"Yes",0.558855388255112,0.307100370374008,0.135372831799759
"r_0029","(2S)-2-isopropyl-3-oxosuccinate [cytoplasm] + H+ [cytoplasm]  -> 4-methyl-2-oxopentanoate [cytoplasm] + carbon dioxide [cytoplasm] ","YJR148W","High Diversity","Low Diversity","No","No",-0.764540371865357,9.7019491954749e-05,-0.866059187432255,1.51730318016191e-06,"No",-0.713372780025226,-0.792506423555115,2.33305599360418e-06
"r_0032","adenosine 3',5'-bismonophosphate [cytoplasm] + H2O [cytoplasm]  -> AMP [cytoplasm] + phosphate [cytoplasm] ","YOL064C","High Diversity","High Diversity","No","No",0.141973775128333,0.622035903161854,0.0637111375734683,0.792120938120763,"No",0.470409390619189,-0.137329579974791,0.512720997123159
"r_0039","3-dehydroquinate [cytoplasm]  -> 3-dehydroshikimate [cytoplasm] + H2O [cytoplasm] ","YDR127W","High Diversity","High Diversity","Yes","Yes",0.713148891261608,0.000450025235034885,0.637294664413773,0.00259457169668457,"Yes",0.715552659381313,0.666673166145104,0.000273580095039845
"r_0040","7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid [cytoplasm]  -> 3-dehydroquinate [cytoplasm] + phosphate [cytoplasm] ","YDR127W","High Diversity","High Diversity","Yes","Yes",0.71136507669657,0.000450025235034885,0.579935268028689,0.00732515628080279,"Yes",0.713414310966736,0.665267116716844,0.000284887314851723
"r_0042","D-erythrose 4-phosphate [cytoplasm] + H2O [cytoplasm] + phosphoenolpyruvate [cytoplasm]  -> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid [cytoplasm] + phosphate [cytoplasm] ","( YBR249C or YDR035W )","Low Diversity","High Diversity","Yes","No",0.596367443735627,0.00573075105344276,0.414125804160682,0.0830867500380905,"Yes",0.710672988950756,0.667519979538866,0.000266960836566234
"r_0060","(2R,3S)-3-isopropylmalate [cytoplasm]  <=> 2-isopropylmaleic acid [cytoplasm] + H2O [cytoplasm] ","YGL009C","Low Diversity","Low Diversity","No","No",-0.800266800533563,2.80011459845524e-05,-0.856576922735238,1.64810716557003e-06,"No",-0.800644688940559,-0.792264065105241,2.36155209544021e-06
"r_0061","(2R,3S)-3-isopropylmalate [cytoplasm] + NAD [cytoplasm]  -> (2S)-2-isopropyl-3-oxosuccinate [cytoplasm] + H+ [cytoplasm] + NADH [cytoplasm] ","YCL018W","High Diversity","Low Diversity","No","No",0.292560628790606,0.311689920749427,-0.860062555931958,1.51730318016191e-06,"No",0.21880912005023,-0.7923604788831,2.35017892201788e-06
"r_0065","3-phosphoshikimic acid [cytoplasm] + phosphoenolpyruvate [cytoplasm]  -> 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid [cytoplasm] + phosphate [cytoplasm] ","YDR127W","High Diversity","High Diversity","Yes","Yes",0.712623962296422,0.000450025235034885,0.611253659300573,0.00435063005036738,"Yes",0.720838172468206,0.66642382403817,0.000275556212674272
"r_0079","5'-phosphoribosyl-N-formylglycineamide [cytoplasm] + ATP [cytoplasm] + H2O [cytoplasm] + L-glutamine [cytoplasm]  -> 5'-phosphoribosyl-N-formylglycineamidine [cytoplasm] + ADP [cytoplasm] + H+ [cytoplasm] + L-glutamate [cytoplasm] + phosphate [cytoplasm] ","YGR061C","High Diversity","High Diversity","Yes","Yes",0.508450213622192,0.0281322869264951,0.57480167775889,0.00791718200638146,"Yes",0.683114313367996,0.678179896911052,0.000194826723100217
"r_0080","5,10-methylenetetrahydrofolate [cytoplasm] + 2 H+ [cytoplasm] + NADPH [cytoplasm]  -> 5-methyltetrahydrofolate [cytoplasm] + NADP(+) [cytoplasm] ","( YGL125W or YPL023C )","Not measured","High Diversity","No","No",NA,NA,0.410843072345094,0.0859163743428073,"Yes",0.502415356254587,NA,NA
"r_0091","6-O-phosphono-D-glucono-1,5-lactone [cytoplasm] + H2O [cytoplasm]  -> 6-phospho-D-gluconate [cytoplasm] + H+ [cytoplasm] ","( YGR248W or YHR163W )","High Diversity","Low Diversity","No","No",0.39506074980111,0.11790749010621,0.375179868923357,0.126649499822953,"No",0.393374973340933,-0.0727598595480596,0.72961874968912
"r_0096","2-acetyllactic acid [mitochondrion] + H+ [mitochondrion] + NADPH [mitochondrion]  -> (R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion] + NADP(+) [mitochondrion] ","YLR355C","Low Diversity","High Diversity","No","No",-0.645618196223971,0.00212885255640035,-0.651691870390402,0.00188010334585695,"No",-0.548059696576834,-0.676607291992321,0.000204255696109814
"r_0097","H+ [mitochondrion] + 2 pyruvate [mitochondrion]  -> 2-acetyllactic acid [mitochondrion] + carbon dioxide [mitochondrion] ","(( YCL009C and YMR108W ) or YMR108W )","Low Diversity","High Diversity","No","No",-0.627812918260439,0.00289683205538137,-0.647825446025758,0.00204482071626356,"No",-0.546195290746784,-0.676577421976627,0.00020443858478965
"r_0109","acetyl-CoA [cytoplasm] + ATP [cytoplasm] + bicarbonate [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + malonyl-CoA [cytoplasm] + phosphate [cytoplasm] ","( YDL141W and YNR016C )","High Diversity","High Diversity","No","No",0.233462160506832,0.420348822465427,0.296419715723802,0.239432424994283,"No",0.459081551565007,0.0428758686632549,0.838746510481556
