Row,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119,r120,r121,r122,r123,r124,r125,r126,r127,r128,r129,r130,r131,r132,r133,r134,r135,r136,r137,r138,r139,r140,r141,r142,r143,r144,r145,r146,r147,r148,r149,r150,r151,r152,r153,r154,r155,r156
cstm_PPK,-0.632751053926168,0.0471472631592942,0.315823314150207,0.317191608459191,0.0260309063020535,0.319111916773567,0.351094585874808,-0.0924211343120317,-0.0857399497132651,-0.0882915080415782,0.320166976396411,0.320940159946312,-0.0873265823808625,-0.140040688704228,-0.405483290792366,0.423849870602612,0.428904642548841,0.0955874334063978,-0.0577597096898872,0.109267476259778,0.100037209195626,-0.142517683869866,-0.0640953795736205,-0.0672603575533087,0.353097224772254,0.357575463987787,0.401662845249307,-0.309512676964122,0.027438614997617,0.0278352449966384,0.116069888655588,0.105475143988563,0.030875492893647,-0.191388375487728,0.040075326200529,-0.0812716450005439,0.036741540699823,-0.0185867530089007,-0.172618992789072,-0.0840612232409753,-0.373413631343687,-0.377423520446635,-0.354723773758499,-0.143323178438347,0.461675997132628,0.46858047916418,0.431132221791948,0.0496326447729261,0.0246909296132426,-0.343413689701015,0.00258744783307386,-0.446651835561421,-0.416099789243893,0.0324923525328695,-0.0308780787605465,-0.0906479466718738,-0.0282085397456655,-0.175624077705373,0.466547588254069,-0.00264697982617817,-0.0523161992637182,-0.0510782396620699,-0.372515810569431,-0.138349079380569,-0.143080831029111,-0.0239119840908082,-0.0231147641043825,0.0155758737909602,0.0272021270605073,0.0382521459829362,-0.0254939356941527,-0.0201616432739091,-0.0202109021065166,-0.140260792115984,0.0294459619707971,-0.0614065470953708,-0.0876004599161491,-0.400062732066458,0.0457919440871388,0.0478802587792573,0.0991366488741185,0.319054429314676,-0.445380508038034,0.127692717305042,0.0397824364071034,0.0267749884108696,0.0268050327895772,0.101642223570302,-0.108296573608091,-0.391299795852529,-0.341510438599581,0.0272580224958692,-0.120607724332232,0.342495856409026,0.0994580078574161,0.106614017076522,0.0852756214487976,-0.406809647691898,-0.42972475054405,-0.141414946720429,0.343343286332163,0.0281525771486555,-0.08763440691959,-0.120400276060181,-0.55674000618892,-0.0048130923939276,0.010949432581957,-0.0125360050218633,0.0237716643122901,-0.142976195247967,-0.0163316738493772,-0.0197444027412593,-0.148468071343617,-0.090317411926753,-0.140275264686014,-0.142053500516945,-0.0195654395586458,-0.0318137687013697,-0.205340207139697,0.0524673944430232,-0.4222241299842,0.0198152266101594,-0.345223191298915,-0.342731376045033,-0.34230011931372,0.211171491907062,0.0266727067245571,0.030108734266348,-0.381381842249678,-0.0845021752670037,-0.0858333363839779,-0.351187586592374,0.342234664099779,0.340764403588152,0.25632997963268,-0.0294680132613233,-0.344814381124425,0.169804076635695,-0.351531018643457,-0.303314534474662,0.037559589042519,0.0279201247391109,-0.145017522991683,-0.217641995903153,0.157636707793401,0.0996946332327996,0.318205269431351,-0.179996820552229,0.0337381365332204,0.0260881874207284,0.0533817446810191,-0.00186245402305623,0.202742159652959,-0.0193570590956732,0.146757545858828,0.399570733931579
r_0016,0.100859665391709,0.185243841311845,-0.744724346954716,-0.745204857519716,0.0674642953892903,-0.744813032723715,0.392483292419446,0.644961277175691,0.644288473490459,0.64601219516598,-0.74461503083186,-0.744636316887245,0.644959706192237,0.151166533832731,-0.0499387028774584,-0.629721265687774,-0.627812918260439,-0.0374529143967126,0.730156132762886,0.794129301262392,0.795414925626697,0.147329862700739,0.651117171108358,0.649536340695037,0.393808024362826,0.348902155945828,0.253361163423136,-0.223280833561512,0.064884602177114,0.0662490283739657,0.794552252027327,0.794594204937875,0.0669034601045623,-0.156447873756646,0.19694708659492,0.27663986125285,0.19146695077735,0.789613527563275,-0.0449936566436281,0.646342359696314,0.173894191812517,0.395462826062942,0.163654434806665,0.15234249195952,0.494995561728953,0.488404419854171,-0.630815148637426,0.18550492832169,0.394667953448829,-0.457579376487271,0.36168498839991,0.0607997549552575,-0.0309860297158155,0.327243075109326,0.152828767375904,0.597924273617202,0.155178558651205,0.00669456700552095,0.489408337743494,0.309878873719216,0.843214645398522,0.843510151089725,0.0754658483610963,0.153630126863561,0.151312990124658,0.785913072395048,0.789627666362084,0.0637798194518703,0.068869510395637,0.19226902936789,0.144935256458316,0.789053803280995,0.790885922410367,0.150460624057191,0.0643024703502074,0.814635883856415,0.540951548338164,0.0570747782790834,0.186734108643236,0.190145177090252,0.173856988709085,-0.744692403895155,0.245440670280428,0.727663852819969,0.397663729620577,0.386186569399343,0.0658856539425669,0.795351144142462,-0.655520373184472,0.175472051247463,-0.453455875557966,0.152421877857808,0.371252692138094,0.39813120799373,0.789502521336505,0.79720803950564,0.209128189693973,0.13213004780938,0.109703673664431,0.150268882825071,0.394673137148141,0.363536528407372,0.0854167100285655,0.331203970989409,0.149065617942244,0.288608804870167,0.305713698444954,0.283651552778576,0.385157515375429,0.145671596030983,0.795474272955938,0.792389746366797,0.146057448730051,0.546983744037162,0.144706052627402,0.145106346712416,0.309658359483626,0.154415956842758,0.187685378705259,0.266976271251397,0.268637943394726,0.313796119506359,-0.453062568522931,-0.455826129571647,-0.452936115819845,0.0468864630011233,0.0649864876277269,0.0655348341406744,-0.0447785890035037,0.646546635744044,0.644111389132554,0.0535500927833359,0.392535318386428,0.392501271665976,0.26884280169697,0.143228167908624,-0.45247255417684,0.0820877671723804,-0.0934503175678262,-0.221906305774321,0.175884123223043,0.0655422625873974,0.144249804392137,-0.152882878504718,0.391072204444039,0.172232360541505,-0.744573140429105,0.0779818213240532,0.0672649014653984,0.290157850293527,0.114962161716059,-0.0654009438034993,-0.00224379100747951,-0.277517190836334,-0.057515633757768,0.251169591309688
r_0023,0.236482065554748,0.171666624531811,-0.799697227148376,-0.800403833270711,0.0539477874245743,-0.800598249749019,0.31628878154778,0.65600320335117,0.654697891436533,0.655317666130961,-0.800266800533563,-0.800359086419264,0.654944723655564,0.160579342468428,0.0194524054956484,-0.699395998763041,-0.699623682663266,0.0300838415118804,0.717386036375698,0.748096997907338,0.750274881912928,0.156763718085809,0.649465868253723,0.647948942391818,0.317193027129463,0.33303632150072,0.159128459119164,-0.119515973990731,0.0511398868873893,0.0524661198830708,0.748102732618237,0.750449018628539,0.0526962463436818,-0.153748977345631,0.18236227951279,0.252698359080022,0.178800368959649,0.782093324353876,-0.048632276910652,0.65657451482193,0.214689964539926,0.410068634548024,0.205176364504338,0.160838846917984,0.400551681878984,0.393163325082951,-0.703952969134681,0.171952473070986,0.332743376457781,-0.370111195763623,0.387986430856548,0.0972241417732365,0.0368929372847994,0.351606105067057,0.140743667119338,0.572411492118262,0.142238543964508,-0.000780842691665643,0.395280500471539,0.33513328546601,0.813783848343949,0.813689805884066,0.103815040205507,0.162343524477434,0.160647584569286,0.776520128643401,0.782588244406633,0.0518630681044122,0.0551471788607471,0.17884235803701,0.143929348451027,0.781405834076806,0.784078862638669,0.159047159226109,0.0502952695415589,0.79044497173005,0.543952282016014,0.10577853812688,0.173065338633659,0.175243049112534,0.183000851624445,-0.800158626919117,0.282768279532993,0.686554711017706,0.334006124802869,0.329443019492656,0.0522865143154956,0.751376606104452,-0.620493913218481,0.199217120412599,-0.36697261670581,0.130082364173276,0.349091532675286,0.321372289585905,0.744145092152957,0.750618409368112,0.244512654416393,0.157576911800215,0.135696481574921,0.15862821894094,0.319837831359839,0.384964406714619,0.0770737662922141,0.318146837421587,0.181108605018373,0.273958073164898,0.33486763144567,0.320487360742219,0.32757089602318,0.155360543441506,0.790404887859241,0.78547247244851,0.156697780841435,0.546477549999503,0.154472994502059,0.154064958275709,0.293296822473407,0.14268061700167,0.198007969108511,0.295307772119183,0.308176770301624,0.338092912338465,-0.366523325999994,-0.370220792932351,-0.366306488625694,-0.0228876104824975,0.0515047455150383,0.0518976210781151,0.022043106150206,0.655986279814279,0.65380027870721,0.0902344984932076,0.317436853130636,0.319002321518049,0.216694540108912,0.143727278914875,-0.365884822872878,0.0134487246755556,-0.0331362580840446,-0.119363288355437,0.213186636784746,0.0518179105149515,0.154715350323891,-0.191704878678179,0.367870284624435,0.181114812162128,-0.800285014669297,0.0916823066292983,0.052966906534936,0.318223369362205,0.142891828394293,0.0154330175143156,0.0402628817328782,-0.188675366621688,-0.00609351915826858,0.158601791604893
r_0025,0.0800185546159075,0.0586915457731128,-0.676902960621509,-0.677299496767698,-0.0391096531763154,-0.677284413470808,0.321662749547913,0.534066873312305,0.532696137346284,0.534580913582687,-0.677145490010414,-0.676976963298442,0.533270092001021,0.0172310671865242,-0.055798147989408,-0.62247879969493,-0.621063961019786,-0.0301299640688027,0.810860659978992,0.707058902118471,0.71199858555017,0.0139536875213015,0.519992160236462,0.518374492949602,0.321793225469735,0.382130981999146,0.16117344895061,-0.12549759436836,-0.0414724869228885,-0.0406787957575463,0.709780267513684,0.709358723420264,-0.0404821147002793,-0.073588833207049,0.074689682787545,0.283514364443427,0.0706056301418513,0.677799670571414,0.0244893338138681,0.535184752279644,0.292401326382096,0.494419830537609,0.278925898113984,0.0190204714041645,0.492280481787551,0.486057809744611,-0.623938655465019,0.0580074158896196,0.351996126892868,-0.444169259425613,0.385498221104459,0.176051773050325,-0.0445557651322649,0.347035122827656,0.0555444394294957,0.567773883066401,0.0571506023302982,0.0548214354021179,0.498489186668091,0.336144868048901,0.82784783047711,0.827996411517612,0.185801529046904,0.0188033941388651,0.0178283914690904,0.67357960268025,0.677888576891581,-0.0417932424656349,-0.0384003020521578,0.0707593822976009,0.02195110509396,0.6772859842832,0.679428365559268,0.0170640740900873,-0.0421640035276298,0.865141861594001,0.403723415510733,0.167714761429954,0.0596911497180661,0.0625014957592193,0.176427579515162,-0.677100532498354,0.365560754638511,0.618417389824045,0.35257195547156,0.343193918071765,-0.0410474476855739,0.709760051655367,-0.53477678471193,0.299613712653504,-0.441510149470787,0.0451893430460542,0.354530203349138,0.325959040765138,0.705059574568312,0.709809520612075,0.0829201493465885,0.229530082847112,0.2078054274462,0.0155988889933582,0.322743364964276,0.384929713400913,0.0285793621837928,0.331178528686201,0.108679485204415,0.171045227852161,0.334241892081676,0.3128985942084,0.34387950649935,0.0124122085125637,0.684955581571063,0.681300881338689,0.0134987373760085,0.409107752794302,0.0114389007535591,0.0113220415292766,0.197869157143188,0.0568736506568318,0.201549453689519,0.284796659703418,0.390524214475176,0.340795244385673,-0.441134330651559,-0.443654635527873,-0.44092929546439,-0.02585880087243,-0.0415178299732009,-0.0415819254443568,-0.0555296604812299,0.535040088912776,0.532888219024347,0.15833466578023,0.323229755933634,0.323801006628113,0.200463831882592,0.0208538230772414,-0.440510627464175,0.00467755716852592,-0.10028995647929,-0.127004721956884,0.206600539927116,-0.0409769709966823,0.0119294678413695,-0.0936008045241509,0.251953354582153,0.174836944406538,-0.677080454164518,0.120382774006886,-0.0409321465948254,0.308519725475147,0.0497167709082902,-0.0459536837282111,-0.00858638789568928,-0.265228136569322,-0.0696457369941731,0.15815799757981
r_0027,-0.129672971870462,0.149863401291822,-0.281722821726228,-0.285228573616076,0.138460145953875,-0.284600774295917,0.263434230586679,0.378163736459284,0.375292400368878,0.376810237752115,-0.283909896938597,-0.285880198951808,0.375589363243375,0.261266294465747,-0.0640235494760045,-0.190958180704333,-0.184293231375028,-0.339450576514646,0.35738699444564,0.308022102080404,0.309586647275331,0.265945058547388,0.376064728709916,0.375170383330975,0.265933355502081,0.0230052893998984,0.1614251768973,-0.285799488908563,0.139494567101966,0.140259790648206,0.308729980789399,0.310134278069669,0.14331127398015,-0.375724446806435,0.176460088418863,-0.18645709598741,0.174674540851995,0.371327482092703,-0.324204161633114,0.375826485067673,0.0951686003498475,0.395562748946071,0.0798135073009745,0.258364165694149,0.242411189144497,0.232644465022925,-0.193185290289772,0.15872190317937,-0.0285196624918771,0.100535603161675,-0.213257806619582,0.0819827693090566,-0.0254956149985984,-0.219969974540227,0.206320926746805,0.152108841282738,0.209757850196889,-0.280497738792076,0.235339388665198,-0.227766104052825,0.281919042548379,0.281961485805333,0.0961104807945518,0.253262327552238,0.258425316188693,0.366347169139345,0.371305958486913,0.144101114293694,0.142837204860621,0.1778225287816,0.151618043129319,0.371192722294439,0.37206017053453,0.258627781021079,0.134834878520142,0.313219951478968,0.360271880310959,0.075313638087158,0.158219427297941,0.156156938978935,-0.245825517055472,-0.284993528122497,0.205114578323217,0.316629662956005,-0.0311659950480839,-0.0555339948637314,0.143622023015012,0.308638548039751,-0.267685339345683,0.175461819749925,0.10536622268826,0.127714799928841,-0.145806898014518,0.267531118635197,0.297592320971987,0.307620095648742,0.296297200512818,0.239528597603023,0.241157264406602,0.26381939857096,0.262340875348012,-0.216466154555085,0.296771721558086,-0.209647223546936,0.291205731814114,0.311721921608676,-0.287392581657088,-0.263426911909357,-0.0432513214817056,0.258420879160555,0.380594172063618,0.374985095164543,0.255160328838515,0.356972637685408,0.258600318800859,0.262670310826814,0.306442766416095,0.206318999584414,-0.115430583404867,-0.301002231459418,0.198806438025755,-0.272629644615417,0.106247860757368,0.10781891299511,0.106729786076028,-0.128851260646329,0.142669123986636,0.141978753329397,-0.0559918081313103,0.377981476924594,0.371014654430637,0.147639600634235,0.260297441798271,0.273373081999645,0.304146636166496,0.149263688468085,0.105342436301972,-0.0784626875082225,-0.101001925834405,-0.286249204625303,-0.356296354988971,0.139876306093058,0.254937334082113,-0.184450190288246,0.254584624900272,-0.247706082157485,-0.282325582865038,-0.267831373242451,0.141376345319721,-0.301259234440557,0.273909580248202,-0.319353822317787,-0.286659772017158,-0.383257785254303,-0.33756192234916,0.154393745727945
r_0029,0.40590723782388,0.229552865691927,-0.763887628609042,-0.764717665122713,0.0974170166232265,-0.764540371865357,0.158629148814553,0.634930907219874,0.632856763335547,0.634036752533693,-0.764719041496101,-0.765052561923323,0.634597879337642,0.254961946431335,0.0486382961865453,-0.6282950062488,-0.632984134685043,-0.0431601074699258,0.55750490243917,0.702582671406784,0.699685444848522,0.249206368308249,0.673090527231344,0.673431843104866,0.160912132377377,0.161178077558132,0.177836389392046,-0.198603712665042,0.0931799211114716,0.0958536061677177,0.696924549564545,0.701481152317377,0.0957161460852062,-0.190330599939605,0.238118199853747,0.285750118011318,0.231918257606637,0.772738309602345,-0.0908541525949914,0.632411893410047,0.33912749779354,0.516766600921024,0.340030334584059,0.254912940210007,0.140108276566027,0.131696777373492,-0.635143427628343,0.230062200307449,0.322539322913179,-0.314367853614817,0.494462974801405,0.243237151326006,0.0790421840175575,0.500837062558551,0.149283490925506,0.552974087624493,0.152383998965835,-0.0316478706029705,0.129122035205489,0.44431268334115,0.828117852871942,0.82789723506844,0.239532040665781,0.257169053869243,0.2538306579821,0.772712309882145,0.773724729897763,0.0951312751483874,0.0993154749343438,0.234153824890926,0.234414674483744,0.7735400285658,0.773198748985299,0.251898917058763,0.0928267036089174,0.641765364721766,0.586688830114592,0.259205470278316,0.231617361131984,0.2359109892581,0.329467710979197,-0.764262978713113,0.367899199387352,0.669098222711973,0.324528178892921,0.322983500623638,0.0957379161729291,0.702634551043894,-0.649974474754853,0.292018738800375,-0.309206771566141,0.167912968773563,0.302152763960952,0.168286130855495,0.695979583245453,0.705277169349953,0.277977924564881,0.336139291383307,0.321680934530861,0.254116788883083,0.165674947063798,0.492245406457943,0.128700944319226,0.271946753594622,0.303334931527286,0.321705560222905,0.39386547457397,0.43969450862189,0.320981991667144,0.24931677981621,0.773156467304255,0.773542497394302,0.249638647207158,0.594658285105873,0.247524136099724,0.248231041980648,0.289623365683683,0.154818842095258,0.147436744027939,0.40876191920369,0.414515702090351,0.401040715914389,-0.310830213355771,-0.314172474588509,-0.311597602467763,0.0497073624697625,0.0943412110766093,0.0960339750863573,0.0533657435663605,0.632675391178271,0.631739195019946,0.271788712461595,0.158229468688962,0.158860393810325,0.0688571252087868,0.233397693640017,-0.310565230436321,0.0908579912192768,0.00946696803793132,-0.197165370307943,0.337139890631624,0.0943432439375389,0.247832470581283,-0.162174529359719,0.426209462489148,0.329413041216264,-0.764475545661087,0.0307218142769803,0.0969066687166105,0.382999686830092,-0.049503389768595,-0.0352846240676058,-0.0542795313929904,-0.2095684639828,-0.0810013147514979,0.179658164471113
r_0032,0.31118606945755,0.176109258250202,-0.767456288727309,-0.768381536990681,0.0378041549555686,-0.768062908998089,0.141973775128333,0.594013186678228,0.593311003308871,0.595387120318582,-0.767990617269287,-0.768421490737195,0.594731814986827,0.236072279226958,0.0242648944682364,-0.652174298771491,-0.65429799864361,0.0530120677619206,0.706431224267304,0.751819983922937,0.751406557871114,0.23269275772036,0.662962148931655,0.662042964585713,0.146101734841917,0.329005755845479,0.192710199466894,-0.206193153718658,0.0353551319868036,0.0373288789903709,0.751395393584997,0.75152321287948,0.0375383002028568,-0.194440611437912,0.185141643962794,0.284687107405646,0.178256471468568,0.766969366007259,-0.0888762937109882,0.592878797271499,0.123874947803323,0.311884802567214,0.124172512782244,0.236860095278134,0.169378485265715,0.162052512460961,-0.657455966565892,0.177647444383638,0.33734589388595,-0.388642012952036,0.512420782638771,0.0124626830591692,0.042447174006491,0.49372248430726,0.0715217252098169,0.552146942446334,0.0754686735641792,-0.0320667291230599,0.166678751144796,0.453858286098316,0.882886214972255,0.882663513040626,-0.0107376607634023,0.239429252909254,0.237368717435411,0.767403347582965,0.767547147961808,0.0360778500719183,0.0413642163928398,0.181551263929819,0.177498368243269,0.768241303162468,0.768105333780038,0.23597109178804,0.035296215919495,0.769391646715376,0.573321699121714,0.0100413694723712,0.177848887670847,0.181545347381894,0.375641089776573,-0.767692809829249,0.158002236985759,0.69474878957384,0.338837956808269,0.335910949208046,0.037550967593072,0.751742358369802,-0.771147907455762,0.105394640076072,-0.38283815729706,0.117758107553354,0.316381649496464,0.153094468237323,0.745945989839009,0.754716715898009,0.205210723354158,0.0661276862164017,0.0841508706229256,0.237351485923447,0.145971384822802,0.509512003714815,0.0406480080076839,0.283700338709921,0.15336516547468,0.234489549322404,0.439499590871726,0.446579787585062,0.335125261631397,0.230888006218851,0.767921464778321,0.768689622171535,0.230803888810634,0.58169951010425,0.229834353321329,0.230440661677281,0.250325031004282,0.0762152666354945,0.087081820354567,0.435537731875809,0.221728231745072,0.442589631705191,-0.3847611366031,-0.386575403777476,-0.385054230046556,0.000887887212590542,0.0371916446580442,0.0382254924427522,0.0282974465814933,0.593483731398188,0.592990857888713,0.0424007469627822,0.141094583409624,0.143442429659502,0.0303735023465326,0.176433672417093,-0.384238937549281,0.0321442666298542,-0.0185285134867941,-0.201561523628847,0.342938801459096,0.0360405236145924,0.233962110281255,-0.0819685403368196,0.389297406140249,0.372546799898987,-0.767820970597632,0.0217876559953633,0.0392720807707562,0.437574566682253,-0.0911342055523239,0.0540646971327064,0.0501918231415902,-0.157390409650028,0.00998359777974692,0.198838921291037
r_0039,0.146300389002387,0.373195903847038,-0.692624267942286,-0.694022242306228,0.264862801966605,-0.693449551450824,0.368462987584095,0.713148891261608,0.71136507669657,0.713165668615984,-0.693465545837272,-0.69374324081138,0.712623962296422,0.39332097300134,-0.0905845097950786,-0.495819154253909,-0.496403377791123,-0.281927448003504,0.480574691187657,0.832387744860241,0.831936661250089,0.390462836875328,0.764665936600274,0.764556832809369,0.370619324045947,0.0772066423022212,0.421387786649455,-0.49466868643498,0.263083460456287,0.265216450426523,0.829792617793708,0.832043603497365,0.265529190059057,-0.117724476935765,0.390074253641094,0.334557365380159,0.384986443928622,0.828692527388095,-0.00170854742824633,0.711684484915672,0.148320677437948,0.381238864279363,0.143585813281571,0.398297163137183,0.284704226088456,0.276212151268431,-0.497750358176869,0.373934415581223,0.562101118400857,-0.406995237745019,0.282739230104642,0.093249025211164,-0.0496845657878975,0.259818238621669,0.321365318241655,0.660293315955172,0.324568073065424,0.0867495171504771,0.255784576156838,0.246975973201534,0.760754629170793,0.760925345585935,0.086824047659767,0.396853806296744,0.395994025873585,0.82585541325856,0.829485323318148,0.265545405569419,0.267032377790387,0.387513501038262,0.368939321734845,0.828549234352295,0.829309127342212,0.395487695362669,0.262117589007872,0.644173664523232,0.695353682599633,0.101555693792317,0.377241402646992,0.379509065114685,0.22024251613041,-0.693210474854588,0.200791179215547,0.804531344940506,0.566726269027755,0.553365263974941,0.264956300193014,0.832109781572713,-0.690792158280512,0.166967514209789,-0.401685115913698,0.36124615162145,0.461225155416336,0.377738604832809,0.825051817722933,0.834355866654818,0.199030786854335,0.185884032417556,0.182086152297765,0.394539427505478,0.375037238540651,0.286692520839743,0.23670075340231,0.395833659642283,0.389379743437322,0.463501406555377,0.205765303196732,0.214004895731602,0.555643390699236,0.390409051425216,0.833862710027229,0.83116943602585,0.389773635334744,0.699143981155064,0.38771430837302,0.390964944528578,0.462254369538487,0.323931929135696,0.313890237051471,0.188685550089114,0.25657080711498,0.22902264043679,-0.402160093379195,-0.404274157771561,-0.403106598452947,0.0679354580521083,0.264459801361749,0.265139343997017,-0.0926685960041654,0.7127894929062,0.710459139197259,0.0888278565136045,0.369343481372547,0.370257005018902,0.257967929639439,0.366604687415018,-0.403206906590392,0.125165721039083,-0.143502950842137,-0.491731989950911,0.1009028006718,0.264327615100195,0.388483785788125,0.0460528422111052,0.544448147600447,0.219350850873611,-0.692870335458041,0.135277720959077,0.265706112755303,0.201405763433497,0.142727868030436,-0.257283398329477,-0.277965877838403,-0.427742939152456,-0.316312412923169,0.418467949968356
r_0040,0.146300389002387,0.373195903847038,-0.692624267942286,-0.694022242306228,0.264862801966605,-0.693449551450824,0.368462987584095,0.713148891261608,0.71136507669657,0.713165668615984,-0.693465545837272,-0.69374324081138,0.712623962296422,0.39332097300134,-0.0905845097950786,-0.495819154253909,-0.496403377791123,-0.281927448003504,0.480574691187657,0.832387744860241,0.831936661250089,0.390462836875328,0.764665936600274,0.764556832809369,0.370619324045947,0.0772066423022212,0.421387786649455,-0.49466868643498,0.263083460456287,0.265216450426523,0.829792617793708,0.832043603497365,0.265529190059057,-0.117724476935765,0.390074253641094,0.334557365380159,0.384986443928622,0.828692527388095,-0.00170854742824633,0.711684484915672,0.148320677437948,0.381238864279363,0.143585813281571,0.398297163137183,0.284704226088456,0.276212151268431,-0.497750358176869,0.373934415581223,0.562101118400857,-0.406995237745019,0.282739230104642,0.093249025211164,-0.0496845657878975,0.259818238621669,0.321365318241655,0.660293315955172,0.324568073065424,0.0867495171504771,0.255784576156838,0.246975973201534,0.760754629170793,0.760925345585935,0.086824047659767,0.396853806296744,0.395994025873585,0.82585541325856,0.829485323318148,0.265545405569419,0.267032377790387,0.387513501038262,0.368939321734845,0.828549234352295,0.829309127342212,0.395487695362669,0.262117589007872,0.644173664523232,0.695353682599633,0.101555693792317,0.377241402646992,0.379509065114685,0.22024251613041,-0.693210474854588,0.200791179215547,0.804531344940506,0.566726269027755,0.553365263974941,0.264956300193014,0.832109781572713,-0.690792158280512,0.166967514209789,-0.401685115913698,0.36124615162145,0.461225155416336,0.377738604832809,0.825051817722933,0.834355866654818,0.199030786854335,0.185884032417556,0.182086152297765,0.394539427505478,0.375037238540651,0.286692520839743,0.23670075340231,0.395833659642283,0.389379743437322,0.463501406555377,0.205765303196732,0.214004895731602,0.555643390699236,0.390409051425216,0.833862710027229,0.83116943602585,0.389773635334744,0.699143981155064,0.38771430837302,0.390964944528578,0.462254369538487,0.323931929135696,0.313890237051471,0.188685550089114,0.25657080711498,0.22902264043679,-0.402160093379195,-0.404274157771561,-0.403106598452947,0.0679354580521083,0.264459801361749,0.265139343997017,-0.0926685960041654,0.7127894929062,0.710459139197259,0.0888278565136045,0.369343481372547,0.370257005018902,0.257967929639439,0.366604687415018,-0.403206906590392,0.125165721039083,-0.143502950842137,-0.491731989950911,0.1009028006718,0.264327615100195,0.388483785788125,0.0460528422111052,0.544448147600447,0.219350850873611,-0.692870335458041,0.135277720959077,0.265706112755303,0.201405763433497,0.142727868030436,-0.257283398329477,-0.277965877838403,-0.427742939152456,-0.316312412923169,0.418467949968356
r_0042,0.0852321258280129,0.124261378373619,-0.722819563752883,-0.723080588205375,0.00311718173834862,-0.722292935598624,0.381073585907111,0.594373426758244,0.594294890087528,0.596367443735627,-0.722000920424541,-0.721966139108928,0.59526688316719,0.0467267664847921,-0.0778618494796776,-0.629624805825403,-0.627478421689236,0.0402260135251801,0.731678160323193,0.786234529210519,0.78709639482073,0.0426423818589143,0.58757544735313,0.5862263240487,0.382471737295415,0.379302076908861,0.232617710106778,-0.175173851569034,0.000552528595421211,0.00185713970177989,0.786295137207523,0.785044221697294,0.00303851269297785,-0.16782896931449,0.134758784705152,0.261897099681461,0.127866133187078,0.754324306091391,-0.0568831210420999,0.596563494634105,0.153125068091295,0.374929303323784,0.143435125807993,0.0474161743786684,0.535919439220916,0.530827069017399,-0.629761677209627,0.1248419935566,0.396441658843965,-0.508144762710676,0.393874131335611,0.0299216128920063,-0.0619013729213723,0.358835670487484,0.0840521007078527,0.557692903815376,0.0866190106552308,-0.0177048276913972,0.538956395541128,0.342114540459862,0.838258294398062,0.838725296208948,0.0600706292954436,0.0491063269261603,0.0462466476934479,0.752014832725095,0.754478363594708,-0.00221990400136987,0.00464353810937402,0.129349624008085,0.0761367221026478,0.754062134243296,0.755187693944138,0.0458738510059737,0.000255504282102226,0.805880940338634,0.462425142989433,0.0305477585437046,0.125375558146314,0.129712206137747,0.155837551132406,-0.722400463101737,0.226197878517995,0.705426797503375,0.399867266449545,0.388730202542409,0.00147564366462925,0.786503704846426,-0.657182525069443,0.152068420921616,-0.504507024363385,0.0935763166526598,0.385117394446788,0.386697794354807,0.782201219669302,0.789841367586609,0.159496759075706,0.111364658994671,0.0785537149322824,0.0464334354126735,0.382182846648399,0.396796094767376,0.0511143058901768,0.353039443257828,0.0695534404183421,0.204220357406549,0.346261129059194,0.317004957152893,0.385303193421898,0.0400789524882774,0.758483754033393,0.756678453798994,0.0405021445159457,0.471954089489786,0.039689196495416,0.0399671385572093,0.236530883917252,0.0860200057844235,0.167230114789464,0.307667686326509,0.23485083857947,0.35317517376781,-0.504295374674908,-0.507146247740434,-0.504128766411366,0.0640427173793926,0.000510432874547301,0.00132080414765141,-0.0712257054729115,0.5969942638389,0.594060015324397,0.0259580450345724,0.380394261963512,0.379074915749492,0.241140499244449,0.0731462490496754,-0.50314113058316,0.0919788059443793,-0.113934085740572,-0.174763806227224,0.218729872737581,0.00112659120817034,0.0383009738439469,-0.16860116998996,0.340895993141816,0.154660400585701,-0.722291932779719,0.0729773420818307,0.00323135776989444,0.333231557069645,0.117793134139945,-0.000904547185385204,0.0843534019183462,-0.225087187044195,0.0181481805962879,0.230371895380649
