Row,rMat_valid_normalized_binned1,rMat_valid_normalized_binned2,rMat_valid_normalized_binned3,rMat_valid_normalized_binned4,rMat_valid_normalized_binned5,rMat_valid_normalized_binned6,rMat_valid_normalized_binned7,rMat_valid_normalized_binned8,rMat_valid_normalized_binned9,rMat_valid_normalized_binned10,rMat_valid_normalized_binned11,rMat_valid_normalized_binned12,rMat_valid_normalized_binned13,rMat_valid_normalized_binned14,rMat_valid_normalized_binned15,rMat_valid_normalized_binned16,rMat_valid_normalized_binned17,rMat_valid_normalized_binned18,rMat_valid_normalized_binned19,rMat_valid_normalized_binned20,rMat_valid_normalized_binned21,rMat_valid_normalized_binned22,rMat_valid_normalized_binned23,rMat_valid_normalized_binned24,rMat_valid_normalized_binned25,rMat_valid_normalized_binned26,rMat_valid_normalized_binned27,rMat_valid_normalized_binned28,rMat_valid_normalized_binned29,rMat_valid_normalized_binned30,rMat_valid_normalized_binned31,rMat_valid_normalized_binned32,rMat_valid_normalized_binned33,rMat_valid_normalized_binned34,rMat_valid_normalized_binned35,rMat_valid_normalized_binned36,rMat_valid_normalized_binned37,rMat_valid_normalized_binned38,rMat_valid_normalized_binned39,rMat_valid_normalized_binned40,rMat_valid_normalized_binned41,rMat_valid_normalized_binned42
L-alanine [cytoplasm],0.310973015155233,0,0,0,0,0,0,0,0,0,0.231847943209423,0.719960382361724,0.659329425811953,0.901666290989264,0.984189634406247,0.984189634405812,1,0.999999999987848,0.999999999994779,0.966632749050677,0.966632749056133,0.95517063718745,0.955170637185003,0.95517063718023,0.955170637185301,0.878268628874827,0.878268628869432,0.712569124422822,0.712569124450141,0.851634708940662,0.851634708938264,0.851634708937839,0.851634708937851,0.85163470893787,0.851634708938135,0.851634708937998,NaN,NaN,NaN,NaN,NaN,NaN
ATP [cytoplasm],0.277689390039148,0,0,0,0,0,0,0,1,0.874749053417078,0.781820694558236,-0.0281820155972072,-0.183623376714924,-0.175688635806655,-0.177514463850746,-0.170094200009308,-0.224303371995571,-0.224303372325555,-0.224303371717841,-0.175590120074492,-0.132569817994281,-0.132569817932821,0.184048975226073,0.219909418988316,0.204719482669867,0.204719481820859,0.168364771032067,0.168364771045628,0.168364771183037,0.168364770996235,0.168364770912448,0.168364771068029,0.168364771038204,0.168364771056616,0.168364771038636,0.168364771009249,NaN,NaN,NaN,NaN,NaN,NaN
L-arginine [cytoplasm],0.844213250869875,0,0.836247226622903,0.88002476282883,0.88002476282883,0.890586224446398,0.546427351600003,0.552190961807873,0.834031585624691,0.859029099099083,0.923492618663378,0.916372793446377,0.90973466150425,0.820427052284546,0.802860954462097,0.822108200279896,0.820026847648809,0.918831260480631,0.945814381755692,0.944564786127641,0.959568953151382,0.943294606084446,0.951795363039269,0.860250004073781,0.867483552852651,0.82837621359158,0.826944255274617,0.826944255514746,1,0.996641276876387,0.996641276875137,0.996641276879473,0.976210606946952,0.976210606957099,0.976210606945795,0.976210606947314,NaN,NaN,NaN,NaN,NaN,NaN
L-aspartate [cytoplasm],0.425698511248704,0,0,0.711383785992065,0.711383785992122,0.767421475952684,0.767421475952684,0.938944890477937,0.938944890477937,0.280640146950786,0.280640146950786,0.923926756569137,1,0.845682274541347,0.879855205967688,0.872207537846386,0.670843641582222,0.708560601264178,0.629914763878978,0.428707596041701,0.106357371624603,0.106357371625977,0.103720558332246,0.0878089584924585,0.0878089584272125,0.748427584694491,0.748427584700487,0.748427584717571,0.571402800375974,0.528249042238979,0.528249042240661,0.528249042240251,0.528249042241548,0.528249042243114,0.52824904223836,0.528249042241539,NaN,NaN,NaN,NaN,NaN,NaN
L-glycine [cytoplasm],-0.0708709068653737,0,0.819594683838945,0.819594683838945,0.819594683838905,0.819594683838905,0.82918657225968,0.209978029824599,1,-0.126927566641033,-0.10561565116462,-0.105615651206763,0.664860112719572,0.578847195238755,0.522275863373122,0.511749547900635,0.514380296682795,0.523776490983783,0.523816128303154,0.52381612823092,0.523816128299438,0.522493112068569,0.531043690567886,0.531043690934542,0.520527870556434,0.38445662527016,0.384456625265157,0.355259049518633,0.355259049549916,0.35525904954957,0.355259049545056,0.355259049548824,0.355259049553332,0.355259049549217,0.355259049548473,0.35525904954973,NaN,NaN,NaN,NaN,NaN,NaN
L-histidine [cytoplasm],0.997322097450221,0,0.993138494996195,0.975362050872213,0.979878700259914,0.963517020690373,0.983659000312402,0.994051511108724,0.998942042005767,1,1,0.950529945160711,0.950529945160726,0.946630424431838,0.936192912873926,0.951148237625308,0.939109310378081,0.930563276552642,0.93056327651622,0.928407252213924,0.849286167907076,0.846464327040098,0.834435337156902,0.872678260009508,0.914645799746343,0.918684991627373,0.899585410757328,0.899295681689472,0.638140917405814,NaN,0.587818014897509,0.588752447061739,0.589114176685195,0.589114176720066,0.569092826717194,0.5321101293196,NaN,NaN,NaN,NaN,NaN,NaN
L-leucine [cytoplasm],0.97832567057429,0,0.750926148491662,0.750926148491662,0.877765157859974,0.877765157859974,0.976434967707314,0.976434967707311,0.978895264233202,0.978925368294665,0.978954202591435,0.978954202591435,0.978954202591415,0.978943892828185,0.978905463371315,0.978810176807156,0.979021244103306,0.979115537078977,0.978811143241882,0.978881625590149,0.978845986923226,1,0.971083702621512,0.971148457042874,0.957724525231897,0.96474663306868,0.979736873149082,0.979710860890693,0.979710860921877,NaN,0.975210818545163,0.974207298094826,0.974207298113954,0.980057048832753,0.980057048829742,0.980057048831652,NaN,NaN,NaN,NaN,NaN,NaN
L-lysine [cytoplasm],0.921231522095257,0,0.516831783435138,0.652180828608318,0.662941056500718,0.662941056500718,0.98079790701232,1,1,0.846295101352766,0.846295101352766,0.846295101352766,0.846295101352766,0.727532650294253,0.761604721153546,0.761604721147111,0.191735003367942,0.385833279672153,0.331954116929362,0.118867273150886,0.186000284048992,0.141283970357755,0.122077802238802,0.196817177200857,0.252375281825878,0.271616838295544,0.359948664162041,0.359948663601252,0.412595746992595,NaN,0.312874833144222,0.2549056118497,0.1298314088346,0.41861469899324,0.418614698876533,0.418614698089751,NaN,NaN,NaN,NaN,NaN,NaN
L-phenylalanine [cytoplasm],0.965992882544018,0,0,0,0,0,0,0,1,0.961112516872137,0.8827327752491,0.940725572010392,0.953118407559798,0.898772594190902,0.862630950138025,0.840868619938188,0.405600481103844,0.400384914312416,0.326333490529186,0.326333490678071,0.329858602890478,0.329858602931265,0.332309019113671,0.318281462767274,0.318281462741431,0.29386294692271,0.293862946996333,0.29386294688967,0.466694730381452,NaN,0.466694730351483,0.466694730349003,0.466694730351397,0.46669473035588,0.466694730352373,0.466694730352912,NaN,NaN,NaN,NaN,NaN,NaN
L-proline [cytoplasm],0.923652155149047,0,-0.388988957112427,-0.388988957112427,-0.339212008790089,-0.339212008790089,0.701002749462177,1,0.999839439188919,0.877165199410384,0.866916044762422,0.843699876978678,0.793186083764491,0.793186083773291,0.903602197954747,0.972261928428871,0.624274296084253,0.551951657757548,0.548575191778195,0.501379375353333,0.474515244797295,0.492677977193727,0.475830971642466,0.488274572710916,0.486283072473904,0.39751002179716,0.399474368765826,0.53059078730408,0.595086632084994,NaN,0.561704227625207,0.546311007621992,0.493372568798097,0.44490582181835,0.444905821714975,0.444905821720256,NaN,NaN,NaN,NaN,NaN,NaN
