Row,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
r_0016,0.273568818514007,0.245960211124645,0.247489511435918,0.268453105968331,0.283854378129652,0.202503721748545,0.218311002842062,0.198592502368385,0.231113817837326,0.219258357017188,0.145676004872107,0.130899986466369,0.142468534307755,0.152916497496278,0.203193936933279,1,0.710650967654622,0.607470564352416,0.441751251860874,0.257978075517661,0.175828934903235,0.258235214508052,0.287941534713764,0.229949925565029,0.206360806604412
r_0023,0.035171475668106,0.0490941183335278,0.047580668689462,0.0516250437623993,0.0698119675574746,0.0371032209125919,0.0563732640914926,0.0515046971641965,0.0486236725405532,0.0590938265841989,0.0407974967907574,0.0508008519080406,0.0607349165596919,0.0555746003034193,0.0606875072937332,1,0.787394970241568,0.488373789240285,0.391137384759015,0.145852783288598,0.0407646749912475,0.0581675224646983,0.0658842922161279,0.0623504784688995,0.0528941533434473
r_0025,0.140832595217006,0.145650481788657,0.133531953726816,0.14249671202727,0.137974071986472,0.18443513970529,0.183858066940441,0.165123332528116,0.0997436723300319,0.113167995276056,0.0741887430549964,0.0696083957377137,0.0740894328582548,0.0754395147220657,0.105416431811472,1,0.568242209517675,0.442789274498752,0.281920176074295,0.132081219636578,0.152253267842285,0.224038435730198,0.193789086614596,0.153944225246262,0.129625305311754
r_0027,0.611047596124917,0.663938865154341,0.785305975088754,0.790841807569649,0.847343402130092,0.682712557915639,0.936759131114989,0.862145736807269,0.690294241530778,0.804681388771888,0.616402912329262,0.666345748841687,0.666526265118238,0.657500451290691,0.747758589566159,1,0.890968168963235,0.76905951019917,0.721102352728804,0.745231361694446,0.554570070401348,0.736747096696552,0.786028040194958,0.710030687767014,0.71195619471689
r_0029,0.202872134769401,0.132317889235868,0.151666560448665,0.158026894398063,0.41569477194995,0.167269984917044,0.13954708644021,0.143685339791388,0.0796465064899199,0.100692541371912,0.160518768720923,0.300002124360037,0.259596796465065,0.352155163257069,0.656575956493106,1,0.808510186306375,0.867269984917044,0.73277675100376,0.249399868289678,0.118271620674272,0.292396915429227,0.270919635459818,0.250950651116351,0.245915917829754
r_0032,0.381676530077159,0.342085549479362,0.355079032137239,0.406285114989887,0.479848677803581,0.264989886882913,0.249599220915424,0.230092141733463,0.256989287587085,0.394411566409469,0.377518915274552,0.40268934002547,0.3700951382126,0.410817289684621,0.492546258146678,1,0.691999400704173,0.778148175893325,0.571615851374635,0.471346168252303,0.281006067870252,0.359495093265413,0.44595100756611,0.402389692111769,0.487714435538243
r_0039,0.447188053415019,0.468381754654669,0.476729048006509,0.515579380653807,0.589910496338486,0.433599770257981,0.450179485952233,0.499593165174939,0.503135021299,0.49332312257694,0.255482697554205,0.332896185325229,0.359924376585459,0.475896233188149,0.559469678839803,1,0.882209352414684,0.860048820179007,0.754319628583736,0.586607954817403,0.370645670798832,0.684774804958599,0.656822859330876,0.573014885368305,0.523093859187288
r_0040,0.447188053415019,0.468381754654669,0.476729048006509,0.515579380653807,0.589910496338486,0.433599770257981,0.450179485952233,0.499593165174939,0.503135021299,0.49332312257694,0.255482697554205,0.332896185325229,0.359924376585459,0.475896233188149,0.559469678839803,1,0.882209352414684,0.860048820179007,0.754319628583736,0.586607954817403,0.370645670798832,0.684774804958599,0.656822859330876,0.573014885368305,0.523093859187288
r_0042,0.369306648961396,0.321141989945936,0.326301811628569,0.374561320307313,0.284985298302191,0.259546618609504,0.270644029213696,0.243706724841127,0.216162382623542,0.20011381959594,0.213734231243479,0.22693730437257,0.231622877738784,0.202769610167884,0.24281513800626,1,0.742008915868349,0.659432799013564,0.443232476524708,0.270397420089159,0.224148724272029,0.324632457554776,0.396585412121787,0.25514559423314,0.207227544342218
r_0060,0.035171475668106,0.0490941183335278,0.047580668689462,0.0516250437623993,0.0698119675574746,0.0371032209125919,0.0563732640914926,0.0515046971641965,0.0486236725405532,0.0590938265841989,0.0407974967907574,0.0508008519080406,0.0607349165596919,0.0555746003034193,0.0606875072937332,1,0.787394970241568,0.488373789240285,0.391137384759015,0.145852783288598,0.0407646749912475,0.0581675224646983,0.0658842922161279,0.0623504784688995,0.0528941533434473
