"","x"
"1","r_0115"
"2","r_0118"
"3","r_0207"
"4","r_0208"
"5","r_0816"
"6","r_0818"
"7","r_0211"
"8","r_0216"
"9","r_0471"
"10","r_0476"
"11","r_0109"
"12","r_2140"
"13","r_2197"
"14","r_0361"
"15","r_0722"
"16","r_0723"
"17","r_0902"
"18","r_0112"
"19","r_0173"
"20","r_0175"
"21","r_0450"
"22","r_0467"
"23","r_0486"
"24","r_0886"
"25","r_0888"
"26","r_0892"
"27","r_0893"
"28","r_0959"
"29","r_0962"
"30","r_1054"
"31","r_2115"
"32","r_4039"
"33","r_0225"
"34","r_0536"
"35","r_0538"
"36","r_0563"
"37","r_0564"
"38","r_0027"
"39","r_0542"
"40","r_0545"
"41","r_0988"
"42","r_0989"
"43","r_1838"
"44","r_0215"
"45","r_0219"
"46","r_0309"
"47","r_0310"
"48","r_0547"
"49","r_0548"
"50","r_0727"
"51","r_0813"
"52","r_1041"
"53","r_0770"
"54","r_0773"
"55","r_0091"
"56","r_0466"
"57","r_0887"
"58","r_0889"
"59","r_0984"
"60","r_0990"
"61","r_1049"
"62","r_0039"
"63","r_0042"
"64","r_0202"
"65","r_0203"
"66","r_0279"
"67","r_0566"
"68","r_1055"
"69","r_0468"
"70","r_0473"
"71","r_0957"
"72","r_0079"
"73","r_0151"
"74","r_0153"
"75","r_0514"
"76","r_0528"
"77","r_0565"
"78","r_0570"
"79","r_0800"
"80","r_0855"
"81","r_0908"
"82","r_0911"
"83","r_0915"
"84","r_0214"
"85","r_0250"
"86","r_0307"
"87","r_0364"
"88","r_0799"
"89","r_0821"
"90","r_0973"
"91","r_1045"
"92","r_1072"
"93","r_1074"
"94","r_0032"
"95","r_0154"
"96","r_0883"
"97","r_1026"
"98","r_1027"
"99","r_0280"
"100","r_0300"
"101","r_0451"
"102","r_0505"
"103","r_0658"
"104","r_0713"
"105","r_0831"
"106","r_1022"
"107","r_0016"
"108","r_0353"
"109","r_0663"
"110","r_0669"
"111","r_0023"
"112","r_0025"
"113","r_0029"
"114","r_0061"
"115","r_0096"
"116","r_0097"
"117","r_0352"
"118","r_1088"
"119","r_1574"
"120","r_0891"
"121","r_0918"
