Row,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
r_0005,1.04724844097909e-05,2.34258458965494e-05,3.38531573033474e-05,3.94498406800293e-05,4.84523724217502e-05,7.33293522348406e-06,1.4117628496128e-05,2.475208046502e-05,3.40864346252585e-05,4.27877890673169e-05,4.66820651579484e-06,1.55503636001123e-05,2.11832195334927e-05,4.40267491912251e-05,3.39626417018524e-05,1.07081166793993e-05,2.60452696467794e-05,4.52348998574821e-05,5.56370487099374e-05,6.53441228469074e-05,1.51317339927772e-05,3.00428108485545e-05,3.286750110118e-05,5.47479804817298e-05,5.27259700804027e-05
r_0007,7.90551294453676e-07,1.7843136026886e-06,2.52713667518598e-06,3.37184474084832e-06,4.31645413090731e-06,5.4797237158042e-07,1.31672674988353e-06,2.0031035383907e-06,2.71797247196458e-06,3.92351915795293e-06,4.27879025688007e-07,1.16647650146759e-06,1.62495293107404e-06,3.43804222264686e-06,3.21099007289771e-06,1.24315483248705e-06,3.02048689672554e-06,4.96228127626605e-06,5.91203353667942e-06,5.77864126753141e-06,6.84520350382697e-07,1.43996069806729e-06,1.83427263864589e-06,3.73697748885265e-06,3.92929182736919e-06
r_0016,1.59269445848686e-06,3.70968516227765e-06,5.66788663358202e-06,7.80801773646695e-06,1.10679735395746e-05,1.50771037278697e-06,3.64849454015093e-06,5.47209051550531e-06,7.35798910314247e-06,9.18847795440477e-06,1.23459292982249e-06,3.24629830067603e-06,4.43295517661198e-06,8.34590899791732e-06,6.81166077064499e-06,1.4419406633558e-06,3.92332955940697e-06,7.25009202683059e-06,9.83970030270216e-06,1.26754253586191e-05,1.60320472680733e-06,3.4375850778728e-06,3.91735622730095e-06,8.43954261459369e-06,8.27599257399002e-06
r_0018,2.2056943076512e-06,5.21919213631004e-06,7.99303440441322e-06,1.08872703473649e-05,1.54926682656756e-05,2.20104745082303e-06,5.36134115836033e-06,8.04916496491423e-06,1.07258028036081e-05,1.33993092672461e-05,1.79487619503874e-06,4.764795428678e-06,6.48221558639512e-06,1.19563443975512e-05,9.53172562455338e-06,1.97786437596273e-06,5.29252864267386e-06,9.6529069110183e-06,1.28873513487465e-05,1.68373756968094e-05,2.22798781845636e-06,4.93625800493012e-06,5.63017564807924e-06,1.21573602957497e-05,1.19007546044775e-05
r_0023,-2.35735238324428e-06,-5.58784446091432e-06,-8.55412423708342e-06,-1.17589016061076e-05,-1.66854304512791e-05,-2.30516185957553e-06,-5.59129645403928e-06,-8.39162232979636e-06,-1.12444967186999e-05,-1.40434851295142e-05,-1.8867316606786e-06,-4.96706016367385e-06,-6.78111653054349e-06,-1.26229566618773e-05,-1.02630782433266e-05,2.17109154744335e-12,-2.50543520913042e-12,-6.92919485951339e-10,-1.66277133563868e-10,-3.48549773512012e-12,-2.37409770199467e-06,-5.22402335860349e-06,-5.92373022903623e-06,-1.28584715387618e-05,-1.25728269824119e-05
r_0025,2.39051016551715e-06,5.59959182668172e-06,8.49616397015267e-06,1.17544129871269e-05,1.66829775809809e-05,2.30539160666679e-06,5.59101882362012e-06,8.39053844373177e-06,1.12422020591831e-05,1.40423048667581e-05,1.88661759368352e-06,4.96658414489901e-06,6.78391996185542e-06,1.26181019751607e-05,1.02661910338303e-05,1.66182636670682e-14,5.57325488019471e-13,2.33533985081582e-12,7.22495665462755e-12,1.53082293791272e-12,2.3941918444171e-06,5.22584451666028e-06,5.91600153329409e-06,1.28518524983379e-05,1.25631822818745e-05
r_0027,2.21831302843149e-06,5.23084414742646e-06,7.99537745927732e-06,1.08529274904213e-05,1.54976277391403e-05,2.20098340273123e-06,5.36176453479578e-06,8.04907605102007e-06,1.07240285126316e-05,1.33873804945008e-05,1.79598280862557e-06,4.76436320965977e-06,6.48090070221924e-06,1.19613235736903e-05,9.53333509442656e-06,1.97894643289115e-06,5.28897467883631e-06,9.68154658239303e-06,1.29095967165707e-05,1.68359412118959e-05,2.26505655529059e-06,4.95143226420686e-06,5.58686021876374e-06,1.21934697989416e-05,1.17847853365239e-05
r_0029,2.41719937843595e-06,5.5618286177375e-06,8.54956414441564e-06,1.17454373525865e-05,1.66819805887656e-05,2.30551323939888e-06,5.59189615095749e-06,8.38993934292344e-06,1.12418389007399e-05,1.40412088182363e-05,1.89021854837696e-06,4.96362721315616e-06,6.78222702471307e-06,1.26197610094968e-05,1.02687076913973e-05,2.0225078111787e-12,8.1332582545765e-13,1.87929070516598e-10,7.49050655988443e-11,7.10208442867151e-12,2.37864955123319e-06,5.24369127111445e-06,5.94027859972748e-06,1.28527012836185e-05,1.25529441142533e-05
r_0032,7.73700692040636e-07,1.68530621693168e-06,2.41955769685585e-06,3.04232622609671e-06,3.93146208704591e-06,6.92124386409683e-07,1.52018621418636e-06,2.21746729434623e-06,3.02979289456162e-06,3.28245084399571e-06,4.95099666296142e-07,1.17644650386383e-06,1.6599086796769e-06,2.92403800206566e-06,2.42088591117913e-06,7.1764159254823e-07,1.60189790651687e-06,2.54886288669236e-06,3.2759344934102e-06,4.07149469560678e-06,6.4938417926473e-07,1.28765545637464e-06,1.52415053927462e-06,2.90971860663578e-06,2.85445004540084e-06
r_0039,2.19666456306369e-06,5.07130259011775e-06,7.65105050439709e-06,1.04638843778687e-05,1.46658048620236e-05,2.08107678998776e-06,5.01140685887804e-06,7.51173335305542e-06,1.0076722349939e-05,1.2512755685501e-05,1.71587144795552e-06,4.48989401330071e-06,6.14236215486695e-06,1.14740698256494e-05,9.34945184000306e-06,2.89663911582249e-06,7.44710740002667e-06,1.21783088137255e-05,1.48266706029504e-05,1.74957718110676e-05,2.17803440469703e-06,4.66844450183705e-06,5.32876413578161e-06,1.14744550052546e-05,1.11549827323779e-05
