Row,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
r_0005,0.000197446560337993,0.000218424823318817,0.000223716248725473,0.00017944268354842,0.000163397996973371,0.000147061581436766,0.000133903380177581,0.00016033481528922,0.000160293368474393,0.000145615245375996,8.92632763195404e-05,0.000139941432236312,0.000138453763721436,0.000199119605311062,0.000134678770614136,0.000209650898220541,0.000234537596829017,0.000284846825979973,0.000253990541629456,0.000226112413209234,0.000282337056265198,0.000282667257323255,0.000210918156600721,0.000249424184087076,0.000212397971479397
r_0007,1.49049287401845e-05,1.66371103580949e-05,1.67004079390039e-05,1.53372702747757e-05,1.45565619135933e-05,1.0989553445146e-05,1.24889362705643e-05,1.29753632744905e-05,1.27814178203617e-05,1.33525058755405e-05,8.18170395249129e-06,1.04974003491596e-05,1.06207108330093e-05,1.55492200308228e-05,1.27331730926123e-05,2.43393432347935e-05,2.71994779712001e-05,3.12477771724399e-05,2.69892209405513e-05,1.99960220620489e-05,1.27721952271249e-05,1.35483241973527e-05,1.17709406156357e-05,1.70251496567969e-05,1.58285113049818e-05
r_0016,3.0028408751185e-05,3.45894585714101e-05,3.7455836822075e-05,3.55157747578577e-05,3.73249980657073e-05,3.02370421956791e-05,3.46053695647008e-05,3.54461768694288e-05,3.46013559795017e-05,3.12701941635162e-05,2.36073124580118e-05,2.9214212949955e-05,2.89738454364758e-05,3.7746009781675e-05,2.70116237271664e-05,2.82313094173554e-05,3.53295741956482e-05,4.5654256081299e-05,4.49195431336468e-05,4.38611904395092e-05,2.99135646564558e-05,3.2343602956326e-05,2.51385571317744e-05,3.84493822820665e-05,3.33384863666525e-05
r_0018,4.15858106979524e-05,4.86642456914821e-05,5.2821415056378e-05,4.95221520282918e-05,5.22465843436783e-05,4.41418762160571e-05,5.08514375191651e-05,5.21395112506126e-05,5.04386885834171e-05,4.56004797010942e-05,3.43207887686667e-05,4.2879530906751e-05,4.23678347746501e-05,5.40749117556476e-05,3.77980340933282e-05,3.87239937137348e-05,4.76592089786622e-05,6.07849227863143e-05,5.8832476292952e-05,5.82629238108481e-05,4.15711459346265e-05,4.64443396700576e-05,3.61301050960795e-05,5.53872425199672e-05,4.79402490501473e-05
r_0023,-4.44451480052812e-05,-5.21015951568272e-05,-5.65293384101199e-05,-5.34868791206538e-05,-5.62689870094703e-05,-4.62298845148977e-05,-5.30325256098166e-05,-5.43578232999938e-05,-5.28778757783029e-05,-4.77927366111649e-05,-3.6077206309992e-05,-4.46997595158115e-05,-4.43214547440699e-05,-5.7089796420232e-05,-4.06982110715058e-05,4.25071286266612e-11,-2.25614386385482e-11,-4.36335477374261e-09,-7.59077273035457e-10,-1.20609822243658e-11,-4.42973526224487e-05,-4.91518707225132e-05,-3.80139109530123e-05,-5.85814078244009e-05,-5.06475830175056e-05
r_0025,4.50702995741002e-05,5.22111287166201e-05,5.61463119946903e-05,5.34664620588495e-05,5.62607150906041e-05,4.62344920792007e-05,5.30298923310349e-05,5.4350802287267e-05,5.28670850133698e-05,4.77887199453222e-05,3.60750251739034e-05,4.46954757092823e-05,4.43397780029993e-05,5.7067840147723e-05,4.07105548344529e-05,3.25363834647912e-13,5.01871481402802e-12,1.47057724497073e-11,3.29828899359004e-11,5.29715686135155e-12,4.46722813003142e-05,4.91690056622383e-05,3.79643141718684e-05,5.85512523968827e-05,5.06087309143286e-05
r_0027,4.182372205847e-05,4.87728901554068e-05,5.28368989723997e-05,4.93659391183167e-05,5.22633093870492e-05,4.41405917353708e-05,5.08554531748972e-05,5.21389352993176e-05,5.04303448806979e-05,4.55598837458418e-05,3.43419489195825e-05,4.28756412646818e-05,4.23592406767265e-05,5.40974310559774e-05,3.78044164420796e-05,3.8745178971027e-05,4.76272055419929e-05,6.09652684820913e-05,5.89340293615176e-05,5.82579600156153e-05,4.22627968744489e-05,4.65871114723798e-05,3.58521402311673e-05,5.55517523939781e-05,4.74730857674281e-05
r_0029,4.5573493762102e-05,5.18590209516318e-05,5.64992033531049e-05,5.34256352286087e-05,5.62573528913382e-05,4.62369314164361e-05,5.3038213636276e-05,5.43469215339873e-05,5.28653772404451e-05,4.77849898770494e-05,3.61438809566815e-05,4.46688655750269e-05,4.43287129465884e-05,5.70753434557863e-05,4.07205346337322e-05,3.95980536976613e-11,7.32399729888769e-12,1.18340041460632e-09,3.41951606409386e-10,2.4575575874589e-11,4.43822837820357e-05,4.93369224779822e-05,3.81201055745686e-05,5.85551193445624e-05,5.05674881257919e-05
r_0032,1.45872301544538e-05,1.57139560422716e-05,1.59894797009646e-05,1.38384128511043e-05,1.32582368642011e-05,1.3880513561662e-05,1.44187157662311e-05,1.43639323389942e-05,1.42477708269666e-05,1.11708245623791e-05,9.4670658139853e-06,1.05871227794903e-05,1.084918200332e-05,1.32245351651332e-05,9.6000170180197e-06,1.4050482356772e-05,1.44250871830139e-05,1.60503395701091e-05,1.49550775178925e-05,1.40887267420993e-05,1.21166032687537e-05,1.21153123143354e-05,9.78081726189569e-06,1.3256273254231e-05,1.14986864804552e-05
r_0039,4.14155653254344e-05,4.72853094455765e-05,5.05614381050243e-05,4.75963263916469e-05,4.94581177077976e-05,4.17358717211659e-05,4.75323683459251e-05,4.8658228198881e-05,4.73863513861323e-05,4.25833638332547e-05,3.28100966976146e-05,4.04056274803765e-05,4.01465488820915e-05,5.18937304471762e-05,3.70752278571724e-05,5.67123996343123e-05,6.70611860279136e-05,7.66875271598475e-05,6.76857271247081e-05,6.05411934968809e-05,4.06390848900733e-05,4.39245318939123e-05,3.41958795412877e-05,5.22760210029042e-05,4.49360286900703e-05
