Row,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
r_0003,0.387729095611109,0.334755069150332,0.372849593343578,0.424309433679397,0.459540496982872,1,0.703009632322627,0.586334845020801,0.637382406956261,0.571192983771223,0.529440425771148,0.61699336606574,0.602038904089052,0.67639893557213,0.604437614782055,0.50837674749822,0.533038491810652,0.628499681421236,0.58779655934935,0.4569169071624,0.28256062366478,0.363082343240508,0.356272253663656,0.382219556988119,0.467036467898505
r_0012,0.547517913627268,0.482299399651411,0.39877993673746,0.491524110773998,0.403285778839326,0.441972758375831,0.345077787102188,0.334742753857078,0.402620876638048,0.451436317861984,0.896262345878252,1,0.854625266283649,0.685236588987154,0.65599380285327,0.402840358918082,0.378219611387257,0.38237686398554,0.34710477051191,0.356639338971015,0.373571751339487,0.386114518107288,0.364230843715706,0.373668581757149,0.415066812988187
r_0016,0.273568818514007,0.245960211124645,0.247489511435918,0.268453105968331,0.283854378129652,0.202503721748545,0.218311002842062,0.198592502368385,0.231113817837326,0.219258357017188,0.145676004872107,0.130899986466369,0.142468534307755,0.152916497496278,0.203193936933279,1,0.710650967654622,0.607470564352416,0.441751251860874,0.257978075517661,0.175828934903235,0.258235214508052,0.287941534713764,0.229949925565029,0.206360806604412
r_0019,0.536090753940367,0.544624033731553,0.467899809256099,0.712779841381388,0.718000200783054,0.310034133119165,0.314014657162935,0.397841582170465,0.472904326874812,0.494513603051902,0.60460797108724,0.644463407288425,0.898654753538801,0.719907639795201,0.62232707559482,0.859251079208915,0.654703343037848,0.707208111635378,0.649131613291838,0.702339122578054,0.537797409898604,0.589348458990061,1,0.58237124786668,0.750276076699127
r_0020,0.369306648961396,0.321141989945936,0.326301811628569,0.374561320307313,0.284985298302191,0.259546618609504,0.270644029213696,0.243706724841127,0.216162382623542,0.20011381959594,0.213734231243479,0.22693730437257,0.231622877738784,0.202769610167884,0.24281513800626,1,0.742008915868349,0.659432799013564,0.443232476524708,0.270397420089159,0.224148724272029,0.324632457554776,0.396585412121787,0.25514559423314,0.207227544342218
r_0023,0.035171475668106,0.0490941183335278,0.047580668689462,0.0516250437623993,0.0698119675574746,0.0371032209125919,0.0563732640914926,0.0515046971641965,0.0486236725405532,0.0590938265841989,0.0407974967907574,0.0508008519080406,0.0607349165596919,0.0555746003034193,0.0606875072937332,1,0.787394970241568,0.488373789240285,0.391137384759015,0.145852783288598,0.0407646749912475,0.0581675224646983,0.0658842922161279,0.0623504784688995,0.0528941533434473
r_0025,0.140832595217006,0.145650481788657,0.133531953726816,0.14249671202727,0.137974071986472,0.18443513970529,0.183858066940441,0.165123332528116,0.0997436723300319,0.113167995276056,0.0741887430549964,0.0696083957377137,0.0740894328582548,0.0754395147220657,0.105416431811472,1,0.568242209517675,0.442789274498752,0.281920176074295,0.132081219636578,0.152253267842285,0.224038435730198,0.193789086614596,0.153944225246262,0.129625305311754
r_0027,0.611047596124917,0.663938865154341,0.785305975088754,0.790841807569649,0.847343402130092,0.682712557915639,0.936759131114989,0.862145736807269,0.690294241530778,0.804681388771888,0.616402912329262,0.666345748841687,0.666526265118238,0.657500451290691,0.747758589566159,1,0.890968168963235,0.76905951019917,0.721102352728804,0.745231361694446,0.554570070401348,0.736747096696552,0.786028040194958,0.710030687767014,0.71195619471689
r_0028,1,0.940376045563949,0.924361937897672,0.836880108667159,0.921287801158163,0.176810523556466,0.197233276934442,0.369444510640326,0.468841598551105,0.42563687057646,0.63305769368253,0.692109715701928,0.602864428186736,0.76255272501966,0.890999213592927,0.489431165550604,0.7293806448538,0.739103495936897,0.807854538522031,0.716321521340228,0.309248623787622,0.492362319185949,0.435002263899149,0.575888282534614,0.581798250840026
r_0029,0.202872134769401,0.132317889235868,0.151666560448665,0.158026894398063,0.41569477194995,0.167269984917044,0.13954708644021,0.143685339791388,0.0796465064899199,0.100692541371912,0.160518768720923,0.300002124360037,0.259596796465065,0.352155163257069,0.656575956493106,1,0.808510186306375,0.867269984917044,0.73277675100376,0.249399868289678,0.118271620674272,0.292396915429227,0.270919635459818,0.250950651116351,0.245915917829754
r_0030,0.103558368795843,0.102555439129226,0.114898530889806,0.127707803177726,0.144665654470415,0.0809710668691059,0.0992579603532707,0.0962502405748134,0.108932275516969,0.114011077133631,0.0928255244530932,0.0951286273335757,0.0955883925325578,0.114107307059,0.11931441524282,1,0.701141928447704,0.651284134892971,0.482635844577978,0.198105339691637,0.127771956461305,0.123366764322221,0.148899771186622,0.130124243525864,0.118352115989137
r_0032,0.381676530077159,0.342085549479362,0.355079032137239,0.406285114989887,0.479848677803581,0.264989886882913,0.249599220915424,0.230092141733463,0.256989287587085,0.394411566409469,0.377518915274552,0.40268934002547,0.3700951382126,0.410817289684621,0.492546258146678,1,0.691999400704173,0.778148175893325,0.571615851374635,0.471346168252303,0.281006067870252,0.359495093265413,0.44595100756611,0.402389692111769,0.487714435538243
