Row,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
r_0005,0.746301606796252,0.692104410466348,0.629833074515812,0.614614600995974,0.564400643790329,0.828913097070484,0.800710681642481,0.757428586638893,0.800831447409196,0.714848369644247,0.789164638783542,0.673511169046292,0.652992081207573,0.536115303078265,0.564084878188259,0.573058125172901,0.52891976216399,0.491391461420875,0.54424020087012,0.529787074410098,0.757929087885213,0.683823479743365,0.553386129765547,0.546646854680401,0.583209162642134
r_0007,0.547213925191701,0.511427033362229,0.531822175420149,0.621215969037244,0.654994694550818,0.345552844130369,0.400890115722361,0.387097516789226,0.425446928252879,0.458574143658035,0.372573681393573,0.447958828419819,0.476011063197189,0.54220307755753,0.5330308135257,0.903974636278678,0.844400242081461,0.885667600137277,0.75087974168016,0.647151045257706,0.456211685115959,0.652563420771181,0.741951781850075,0.667812884773686,0.571862157524807
r_0016,0.491640964195777,0.463652251971138,0.469107799768401,0.485776361196493,0.521219710885604,0.450687692590282,0.467967864932504,0.453624589387801,0.432465976214877,0.435973269459218,0.371878679191099,0.345607478837149,0.35786442791684,0.40422089829984,0.477732884959819,0.929772364717958,0.842361363199144,0.794609813601958,0.707886042270554,0.500310256339124,0.355842905439676,0.443364080199043,0.496975046612377,0.449952602288098,0.437852907927517
r_0018,0.557167405652572,0.659190484367409,0.669235314635902,0.755000765632456,0.80064982550387,0.573172903856685,0.723723694942299,0.726784248693831,0.70597335233989,0.754388230686737,0.537401315792484,0.55935329521643,0.573536671102708,0.648505145531678,0.703472462778893,0.833462058851158,0.804403447383339,0.798408755739938,0.757752181722498,0.83038798785754,0.566673640165077,0.730469957513232,0.621341556686732,0.73733729359747,0.721050616782862
r_0023,0.12512034700337,0.142346338928903,0.144325789927148,0.154197822767331,0.21315135152513,0.123327723933501,0.155991877663374,0.148078483908443,0.12519301642746,0.146440753760895,0.12638559722261,0.149648470544756,0.163837764247015,0.168425091823855,0.194063866038496,0.897974322776997,0.759786729210892,0.669212923314367,0.576240293925796,0.276631819401641,0.119668338765362,0.174731568166775,0.192436121861992,0.179661384952024,0.16162367573365
r_0025,0.216972300254649,0.230304541456578,0.224416817193097,0.247376438302213,0.264229949317791,0.194196343910894,0.208863468250837,0.190544455608397,0.170015305654724,0.187405446606733,0.159259274279803,0.142113207177411,0.160181516669721,0.184701388339127,0.230028264742501,0.885667191714101,0.660083003192381,0.58779127087724,0.478221213316806,0.292152137063187,0.165638996228994,0.22488585384343,0.228813177912825,0.234663363661696,0.21580376815839
r_0027,0.514277557889019,0.578295999339649,0.573469164150388,0.622426058597163,0.639298642731112,0.539135571716198,0.637663796129819,0.630211052509225,0.578904078410726,0.604771658931088,0.486947279112085,0.473631828658116,0.48108021427066,0.550230951186814,0.569863652764646,0.774200849166813,0.708366122061183,0.691524621669672,0.651404863186139,0.705570455254136,0.502305505063847,0.614034862146795,0.540669560645349,0.604422360438224,0.605751367526606
r_0029,0.117742681528866,0.138991278124543,0.139992420102015,0.149586848763513,0.211825729793681,0.118924173082008,0.154485390985835,0.145919805392533,0.121706323168743,0.14493906479287,0.124505183481498,0.1538615336328,0.171570948065065,0.170391553217784,0.194662826418158,0.904027119934159,0.816214662683596,0.712781404840236,0.628334393136406,0.293023892717642,0.117333655660356,0.175447136892361,0.191514631153958,0.180587015409879,0.160202537779712
r_0032,0.641599003713689,0.601255329228137,0.615455280022126,0.663714459478265,0.726206128210631,0.510771464846065,0.490971337919251,0.464638033601344,0.50099481675876,0.651627623957277,0.638173072405485,0.661773910670056,0.62993043335757,0.667753632656605,0.737126978166659,0.998498635192363,0.867013038352381,0.910125635763371,0.795285457114929,0.722174974239645,0.531401960149375,0.61862968490742,0.699656356964908,0.660543184396518,0.731720216637357
r_0039,0.52551902872988,0.503427077851451,0.50621577558234,0.512585057111557,0.503328606499448,0.481127698332924,0.494590817080391,0.473520214766411,0.431998841925088,0.427342372279227,0.336327781171134,0.37199145851012,0.378000117043577,0.411980887364153,0.468186695959343,0.65264649550019,0.615435835909568,0.611135857693731,0.568483714169439,0.486879098890376,0.428504461394676,0.573446513655529,0.539511160258229,0.483057629953014,0.455884436304906
r_0040,0.523536820532316,0.497820608034013,0.499926843261983,0.501026814702104,0.489957080624277,0.486879587135883,0.499183548543805,0.474776530318228,0.432704278216746,0.427862005440481,0.341035638335544,0.373827617169295,0.376169334923128,0.400137813563316,0.467009992390936,0.630364396158122,0.589898784656174,0.586182973613016,0.54870183026057,0.473216959083385,0.431909310964094,0.572743114839097,0.539061836373683,0.484480464205303,0.449724497210707
