Row,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
r_0005,0.746301752912025,0.692104574457397,0.62983319782862,0.61461472132921,0.564400864794393,0.828913259360454,0.800710838410815,0.757428734933178,0.800831604201176,0.714848509601902,0.789164793291319,0.673511300910681,0.652992182178074,0.536115408042399,0.564085011845652,0.573058260956464,0.5289199692747,0.491391557628685,0.544240307425,0.529787178135251,0.75792923627749,0.683823613626765,0.553386215334234,0.546646961706471,0.58320927682661
r_0007,0.547218770889732,0.51142089710607,0.531866410515969,0.621226971090325,0.655006297503922,0.345555904075775,0.400897217754268,0.387100944621721,0.425450695677734,0.458578204431569,0.372580279864352,0.447962795192433,0.476015278378428,0.54221268304144,0.5330355336292,0.903990650783545,0.844407719428805,0.88567544291603,0.750886390883183,0.647156775920617,0.45621572496941,0.652574981360699,0.741964922196258,0.667812884773685,0.571867221488282
r_0016,0.491640964548921,0.463548749522512,0.469167589839857,0.485776361638304,0.521219711259995,0.450687568212029,0.468007470856776,0.453624339010309,0.432465737122528,0.435973028824348,0.371878473933154,0.345607479151477,0.357864329155427,0.404220786822515,0.477859371339105,0.929772108124609,0.84236136380421,0.794609374295503,0.707886042270554,0.500310118266312,0.355842807236152,0.443363957841917,0.496974909459998,0.449952478112709,0.437877567150475
r_0018,0.557172512452687,0.659197000093783,0.669262478010793,0.755046755334069,0.800677762688696,0.573222653475302,0.723753318196224,0.726813849287272,0.70601196170736,0.754280532054272,0.537408960199505,0.559398650904567,0.573498119043223,0.648543915660062,0.703502881027399,0.833509190351137,0.804383282599385,0.798425201111891,0.757749221663037,0.83041360702856,0.566689968611183,0.730505476092864,0.621344310496853,0.737285089913972,0.72107024731852
r_0023,0.12512552280445,0.142346338928903,0.144400090729341,0.154208387428624,0.213151347138578,0.123430573781923,0.156013252230322,0.148115623167399,0.125161297535285,0.14640089318762,0.126421640487372,0.149648568447573,0.163837868769841,0.168425091823855,0.194120820085824,0.897998395226196,0.759875980014255,0.669238384094292,0.576261900479101,0.276648628404731,0.119668338765362,0.174736308718004,0.192439968871331,0.179661384952024,0.161623778843965
r_0025,0.216972324724212,0.230302119381157,0.224415984610755,0.247376466200675,0.264230008916106,0.194196343204412,0.208864420018033,0.190545918144066,0.169995021433862,0.187405467741824,0.159259292240643,0.142113239231717,0.16018155279942,0.184701430671339,0.230028290684482,0.885667291597307,0.660089335713392,0.587791337166787,0.478221213316806,0.292154379494605,0.165638996228994,0.224894559538928,0.228813177912825,0.234647504512349,0.215803816833951
r_0027,0.51433794723041,0.578363906083767,0.573536504100575,0.622499291475406,0.639373712746115,0.53919900487285,0.637738674172009,0.63028505540866,0.578972056558882,0.604842674594933,0.487004572569185,0.473687554830825,0.481136705394665,0.550295434250651,0.569930701299843,0.774291760151879,0.708449302365122,0.691508446914806,0.651481354781121,0.705726338709961,0.502364488579971,0.614106965547667,0.540733049083016,0.604493335085491,0.605822498233304
r_0029,0.117748128573839,0.138974748824357,0.140006756254682,0.149596051826693,0.211833577690067,0.118990116704776,0.154459364833875,0.145974388485619,0.121669253013485,0.144948118289792,0.124457523825519,0.153951685003828,0.171579857989586,0.17040775419062,0.194652993613219,0.904041007504749,0.816220545728788,0.712794101407155,0.628346403493746,0.293003837981925,0.117374148056744,0.175453242643967,0.191531702007224,0.18065660404901,0.160214187178319
r_0032,0.641596594508612,0.601255329228136,0.615452835531152,0.663714511265971,0.726206154455962,0.510773419727229,0.490971376228314,0.464639017783403,0.500993885191891,0.651627647507316,0.638171889431881,0.661772588281322,0.629932844297147,0.667753656789446,0.737125500967947,0.998498671278436,0.867012975684108,0.91013084432763,0.795283834625156,0.722177712127911,0.531402986670229,0.618629707264903,0.699657683220571,0.660541908415402,0.731718856051804
r_0039,0.52551902872988,0.503427077851451,0.50621577558234,0.51258481842054,0.503328840880204,0.481127922375572,0.494590817080391,0.473520435266547,0.431998841925088,0.427342173282427,0.336327937786034,0.371991285288099,0.37800029306368,0.411980887364153,0.468186913975864,0.652646495500191,0.615435896156575,0.61113585769373,0.56848397889042,0.486878872169629,0.428504261856738,0.57344651365553,0.539510909028768,0.483057629953014,0.455884436304906
r_0040,0.523536820532318,0.497820608034015,0.499926678649947,0.501026649727877,0.489956919295007,0.486879587135885,0.499183712911154,0.474776530318237,0.432704278216748,0.427862146323632,0.341035526041972,0.373827617169296,0.376169458785295,0.400137813563317,0.467009992390938,0.630364188596619,0.589898784656177,0.586182973613022,0.54870201093292,0.473216803266172,0.431909453179861,0.572743303427578,0.539061836373685,0.484480464205305,0.449724497210709
r_0042,0.530161605369471,0.493024222008227,0.492442752139441,0.492513582266237,0.476362862092749,0.516065725303453,0.518685783330746,0.496251450584667,0.434298749387609,0.43514243629952,0.351806506078202,0.381447753941552,0.377887817298283,0.37044143673753,0.47250393378773,0.599076873659622,0.56118329823592,0.531445402179644,0.52543214412111,0.474222218390735,0.44008312168603,0.578369531575325,0.548774760511541,0.486492422556967,0.446839326238992
r_0060,0.121883249824546,0.140092810197827,0.141778207103515,0.151416118768152,0.211376429975885,0.12118563873547,0.154313289277559,0.146343606004129,0.122723804877262,0.144488931307898,0.124796311514462,0.149819358842002,0.164843827751024,0.167812905371387,0.193308270477934,0.905054780877886,0.764752820924853,0.673310414968969,0.583832094815344,0.278823500878596,0.117732132183415,0.17363016693274,0.190383412918391,0.178508778743162,0.160057115194119
r_0061,0.119415370040222,0.138903257149604,0.14004549479474,0.149844715345967,0.210574667648234,0.119342957942945,0.153615527409898,0.145295956171917,0.121460295305406,0.143715822090137,0.124267314388588,0.151327713227904,0.167216248122823,0.168339506129941,0.193364409335469,0.905701464161244,0.772275599763688,0.680540663425993,0.595390727870471,0.284015753005833,0.116755536359049,0.173842350133794,0.189503620294683,0.178847763680285,0.159593076198601
r_0065,0.539325398019074,0.51763954880957,0.520790041214069,0.518703401606412,0.511583190635866,0.492758290277483,0.510488073977786,0.49260542403607,0.454797691160991,0.449101693923913,0.342289915997445,0.386426500345991,0.393473859953946,0.418460664060236,0.488906413391782,0.651100582316897,0.612901838923731,0.609385149919103,0.570371770013528,0.488155623506661,0.437571090695231,0.587731688387898,0.54248202033347,0.49211508314439,0.464489353449137
r_0079,0.622671901805511,0.592510156967995,0.626842829322614,0.692937954995073,0.834067436573271,0.418290463369009,0.519507603021661,0.507148507707427,0.51487659519003,0.583116956134698,0.506321577108073,0.57633792832967,0.59945748826119,0.745106468118869,0.838535044820691,0.654626047846787,0.77693946321364,0.799576886037736,0.809809463592421,0.893396821043466,0.577907846977895,0.755110411191623,0.772746025187135,0.809770153924931,0.803806831183604
r_0080,0.5222534623245,0.560952742491094,0.609241772165587,0.657865489748121,0.771951829911977,0.45155243242136,0.522209993512566,0.544073586098093,0.543732977358703,0.547859150634406,0.479474780098383,0.563579884640437,0.582488313483846,0.669024447941963,0.736843448273696,0.757453751344988,0.796900638466392,0.805978250615409,0.789494558959649,0.8176842271625,0.625466464906566,0.664612038888018,0.651763643029545,0.706611475146288,0.803336994105716
r_0091,0.593587581446735,0.626998680957059,0.559238342161337,0.559572988374843,0.436171262783275,0.722794292643301,0.666992660265179,0.613174441218896,0.638246096732362,0.607272936437483,0.850614021488027,0.710855368636951,0.650502951908202,0.533928046173312,0.526915541291806,0.663509196463321,0.571207158770626,0.495364347024044,0.683322026915272,0.653588027594165,0.78299125845574,0.649852212333349,0.502785785756331,0.695899072285842,0.633794771938806
r_0096,0.376074257546275,0.355006478683477,0.350820037555512,0.36812655903709,0.391195373105853,0.315440781671851,0.328119531648236,0.329874270822141,0.315147177817468,0.324167256186516,0.294351866421249,0.271289956414184,0.285474638973155,0.313788948208616,0.358762207987904,0.954645516486746,0.77307116766957,0.728384225198381,0.61836900713605,0.376185718495211,0.264316890890301,0.32848520067082,0.375636024636283,0.338763881264951,0.335105866054761
r_0097,0.383591424805914,0.361323962948892,0.357385331973655,0.374782235205892,0.398017773223925,0.318118670700759,0.329597804310625,0.330259308261333,0.316532469244669,0.325918725344979,0.297691961859614,0.274392380432745,0.288367173184278,0.317477364119678,0.364101995771945,0.945966884462171,0.768744815977574,0.73030096666543,0.617148683807947,0.379082719593129,0.270056488127133,0.333903418104584,0.381090348104129,0.343599960183988,0.339777308279775
r_0109,0.532614686817426,0.569699415907407,0.503586953004269,0.502926265249949,0.47973409160536,0.691208094576472,0.690213091110353,0.653371895379883,0.621847820640563,0.608951122333558,0.677795296120505,0.821050094725124,0.897984398166368,0.623581994186037,0.528665275936081,0.577359284342229,0.597170153204552,0.482771335248728,0.460551434830706,0.469538430864671,0.622585630455332,0.569747069944768,0.37586711705391,0.481706909439806,0.487314070455097
r_0112,0.241345155501348,0.270227329663687,0.275144553561838,0.240883246365131,0.277421700393476,0.935640119521572,0.793955898656179,0.627088514759359,0.302975491370652,0.292795751965185,0.244578714154905,0.327159938722988,0.353273086833214,0.322862543670796,0.28411533339837,0.335288386331401,0.338486198583603,0.361034852516813,0.355920290089518,0.33084140436309,0.21014490324457,0.29005767081701,0.3197657981954,0.289626117204899,0.361815115729753
r_0115,0.245457530384857,0.25554631381517,0.318142802732389,0.372760587732469,0.45589555633409,0.327219963810203,0.33901125649531,0.286975559071073,0.253728862816324,0.2857959355711,0.330547459844445,0.359888923891497,0.360233129044195,0.352438635218271,0.41635822915915,0.889178639340519,0.745091456217175,0.724582141686284,0.582120676416564,0.415818428302918,0.405255918997599,0.503454882089795,0.484967122445255,0.445041052542202,0.336734162999616
r_0118,0.267074951647029,0.27784941801087,0.34167440942049,0.396857133956476,0.477946742566711,0.348030469863223,0.361345681660466,0.309411854751269,0.275375878501537,0.30753311344172,0.348348201048123,0.380891550089714,0.381928501254189,0.376509669465801,0.438244820061229,0.868410103975782,0.751214508194957,0.736772605416543,0.59767786302916,0.438794721291547,0.426179316842746,0.524150854919521,0.503452642573584,0.468085619894235,0.361362785704798
