rxnID,primarySites_ori,primarySites_wtdDist,primarySites_wtdDist_exp_decay,SecondSites_ori,SecondSites_wtdDist,SecondSites_wtdDist_exp_decay
BIO0002_f,NA,NA,Intestine,NA,NA,NA
BIO0004_f,Gonad,Gonad,Gonad,Hypodermis,Hypodermis,Hypodermis
BIO0005_f,Intestine,Intestine,Intestine,NA,NA,NA
BIO0005_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
BIO0006_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
BIO0007_f,Intestine,Intestine,Intestine,NA,NA,NA
BIO0008_f,NA,NA,Intestine,NA,NA,NA
BIO0009_f,NA,NA,Pharynx,NA,NA,Gonad
BIO0011_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Glia
BIO0012_f,NA,Intestine,Intestine,NA,NA,NA
BIO0012_r,NA,Body_wall_muscle,NA,NA,NA,NA
BIO0013_f,NA,NA,Intestine,NA,NA,Gonad
BIO0014_f,Intestine,Intestine,Intestine,NA,NA,NA
BIO0015_f,NA,NA,Intestine,NA,NA,NA
BIO0100_f,Body_wall_muscle,Pharynx,Pharynx,Pharynx,Body_wall_muscle,NA
BIO0101_f,NA,NA,Gonad,NA,NA,Pharynx
BIO0103_f,Gonad,Gonad,Gonad,Hypodermis,Hypodermis,Hypodermis
BIO0104_f,NA,Pharynx,Pharynx,NA,Intestine,Intestine
BIO0106_f,NA,Pharynx,Pharynx,NA,Intestine,Intestine
BIO0107_f,Gonad,Gonad,Gonad,Hypodermis,Hypodermis,Hypodermis
DMN0001_f,NA,NA,Gonad,Neurons,NA,Neurons
DMN0005_f,Body_wall_muscle,Body_wall_muscle,NA,NA,NA,NA
DMN0006_f,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Gonad
DMN0008_f,Hypodermis,Intestine,Intestine,Intestine,Hypodermis,Hypodermis
DMN0009_f,Glia,Glia,Glia,Pharynx,Pharynx,Pharynx
DMN0015_f,Hypodermis,Hypodermis,Hypodermis,Glia,Glia,Glia
DMN0017_f,Neurons,Neurons,Neurons,NA,NA,Gonad
DMN0018_f,NA,Neurons,Neurons,NA,NA,NA
DMN0020_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
DMN0021_f,Gonad,Gonad,Pharynx,Pharynx,Pharynx,Gonad
DMN0025_f,NA,NA,NA,NA,Body_wall_muscle,NA
DMN0027_f,Intestine,Intestine,Intestine,Gonad,Gonad,Gonad
DMN0033_f,Gonad,Gonad,Gonad,Intestine,Intestine,Intestine
