name,ID,KEGG,HMDB,BiGG
"(-)-trans-carveol",m00001c,C00964,NA,carveol
"(-)-trans-carveol",m00001s,C00964,NA,carveol
"(+)-alpha-pinene",m00002c,C09880,HMDB0006525,appnn
"(+)-alpha-pinene",m00002s,C09880,HMDB0006525,appnn
"(10Z)-heptadecenoic acid",m00003c,NA,NA,NA
"(10Z)-heptadecenoic acid",m00003l,NA,NA,NA
"(10Z)-heptadecenoic acid",m00003r,NA,NA,NA
"(10Z)-heptadecenoic acid",m00003s,NA,NA,NA
"(10Z)-heptadecenoyl-CoA",m00004c,NA,NA,NA
"(10Z)-heptadecenoyl-CoA",m00004m,NA,NA,NA
"(10Z)-heptadecenoyl-CoA",m00004r,NA,NA,NA
"(11R)-HPETE",m00005c,NA,NA,NA
"(11Z)-docosenoyl-CoA",m00006c,NA,NA,NA
"(11Z)-docosenoyl-CoA",m00006m,NA,NA,NA
"(11Z)-docosenoyl-CoA",m00006r,NA,NA,NA
"(11Z)-eicosenoyl-CoA",m00007c,NA,NA,NA
"(11Z)-eicosenoyl-CoA",m00007m,NA,NA,NA
"(11Z)-eicosenoyl-CoA",m00007p,NA,NA,NA
"(11Z)-eicosenoyl-CoA",m00007r,NA,NA,NA
"(11Z,14Z)-eicosadienoic acid",m00008c,C16525,NA,NA
"(11Z,14Z)-eicosadienoic acid",m00008l,C16525,NA,NA
"(11Z,14Z)-eicosadienoic acid",m00008r,C16525,NA,NA
"(11Z,14Z)-eicosadienoic acid",m00008s,C16525,NA,NA
"(11Z,14Z)-eicosadienoyl-CoA",m00009c,C16180,NA,NA
"(11Z,14Z)-eicosadienoyl-CoA",m00009m,C16180,NA,NA
"(11Z,14Z)-eicosadienoyl-CoA",m00009r,C16180,NA,NA
"(11Z,14Z,17Z)-eicosatrienoic acid",m00010c,C16522,NA,NA
"(11Z,14Z,17Z)-eicosatrienoic acid",m00010l,C16522,NA,NA
"(11Z,14Z,17Z)-eicosatrienoic acid",m00010r,C16522,NA,NA
"(11Z,14Z,17Z)-eicosatrienoic acid",m00010s,C16522,NA,NA
"(11Z,14Z,17Z)-eicosatrienoylcarnitine",m00011c,NA,NA,NA
"(11Z,14Z,17Z)-eicosatrienoylcarnitine",m00011m,NA,NA,NA
"(11Z,14Z,17Z)-eicosatrienoylcarnitine",m00011r,NA,NA,NA
"(11Z,14Z,17Z)-eicosatrienoyl-CoA",m00012c,C16179,NA,NA
"(11Z,14Z,17Z)-eicosatrienoyl-CoA",m00012m,C16179,NA,NA
"(11Z,14Z,17Z)-eicosatrienoyl-CoA",m00012r,C16179,NA,NA
"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",m00013c,C04654,HMDB0001320,prostg1
"(13E)-tetranor-16-carboxy-LTE4",m00014p,NA,NA,NA
"(13E)-tetranor-16-oxo-16-CoA-LTE4",m00015p,NA,NA,NA
"(13Z)-docosenoyl-CoA",m00016c,C16531,NA,NA
"(13Z)-docosenoyl-CoA",m00016m,C16531,NA,NA
"(13Z)-docosenoyl-CoA",m00016p,C16531,NA,NA
