"","data.gene.id.full","data.gene.id"
"1","ENSG00000186092.4","ENSG00000186092"
"2","ENSG00000278566.1","ENSG00000278566"
"3","ENSG00000273547.1","ENSG00000273547"
"4","ENSG00000187634.11","ENSG00000187634"
"5","ENSG00000188976.10","ENSG00000188976"
"6","ENSG00000187961.13","ENSG00000187961"
"7","ENSG00000187583.10","ENSG00000187583"
"8","ENSG00000187642.9","ENSG00000187642"
"9","ENSG00000188290.10","ENSG00000188290"
"10","ENSG00000187608.8","ENSG00000187608"
"11","ENSG00000188157.14","ENSG00000188157"
"12","ENSG00000237330.2","ENSG00000237330"
"13","ENSG00000131591.17","ENSG00000131591"
"14","ENSG00000162571.13","ENSG00000162571"
"15","ENSG00000186891.13","ENSG00000186891"
"16","ENSG00000186827.10","ENSG00000186827"
"17","ENSG00000078808.16","ENSG00000078808"
"18","ENSG00000176022.4","ENSG00000176022"
"19","ENSG00000184163.3","ENSG00000184163"
"20","ENSG00000160087.20","ENSG00000160087"
"21","ENSG00000162572.20","ENSG00000162572"
"22","ENSG00000131584.18","ENSG00000131584"
"23","ENSG00000169972.11","ENSG00000169972"
"24","ENSG00000127054.20","ENSG00000127054"
"25","ENSG00000224051.6","ENSG00000224051"
"26","ENSG00000169962.4","ENSG00000169962"
"27","ENSG00000107404.19","ENSG00000107404"
"28","ENSG00000162576.16","ENSG00000162576"
"29","ENSG00000175756.13","ENSG00000175756"
"30","ENSG00000221978.11","ENSG00000221978"
"31","ENSG00000242485.5","ENSG00000242485"
"32","ENSG00000235098.8","ENSG00000235098"
"33","ENSG00000205116.3","ENSG00000205116"
"34","ENSG00000179403.11","ENSG00000179403"
"35","ENSG00000215915.9","ENSG00000215915"
"36","ENSG00000160072.19","ENSG00000160072"
"37","ENSG00000197785.13","ENSG00000197785"
"38","ENSG00000205090.8","ENSG00000205090"
"39","ENSG00000160075.11","ENSG00000160075"
"40","ENSG00000228594.3","ENSG00000228594"
"41","ENSG00000197530.12","ENSG00000197530"
"42","ENSG00000189409.13","ENSG00000189409"
"43","ENSG00000248333.8","ENSG00000248333"
"44","ENSG00000189339.11","ENSG00000189339"
"45","ENSG00000008128.22","ENSG00000008128"
"46","ENSG00000215790.6","ENSG00000215790"
"47","ENSG00000008130.15","ENSG00000008130"
"48","ENSG00000078369.17","ENSG00000078369"
"49","ENSG00000169885.9","ENSG00000169885"
"50","ENSG00000178821.12","ENSG00000178821"
"51","ENSG00000142609.17","ENSG00000142609"
"52","ENSG00000187730.8","ENSG00000187730"
"53","ENSG00000067606.16","ENSG00000067606"
"54","ENSG00000162585.16","ENSG00000162585"
"55","ENSG00000157933.9","ENSG00000157933"
"56","ENSG00000116151.13","ENSG00000116151"
"57","ENSG00000157916.19","ENSG00000157916"
"58","ENSG00000157911.9","ENSG00000157911"
"59","ENSG00000149527.17","ENSG00000149527"
"60","ENSG00000157881.13","ENSG00000157881"
"61","ENSG00000197921.5","ENSG00000197921"
"62","ENSG00000157873.17","ENSG00000157873"
"63","ENSG00000157870.14","ENSG00000157870"
"64","ENSG00000142606.15","ENSG00000142606"
"65","ENSG00000215912.12","ENSG00000215912"
"66","ENSG00000169717.6","ENSG00000169717"
"67","ENSG00000142611.16","ENSG00000142611"
"68","ENSG00000130762.14","ENSG00000130762"
"69","ENSG00000162591.15","ENSG00000162591"
"70","ENSG00000158109.14","ENSG00000158109"
"71","ENSG00000116213.15","ENSG00000116213"
"72","ENSG00000078900.14","ENSG00000078900"
"73","ENSG00000162592.9","ENSG00000162592"
"74","ENSG00000235169.7","ENSG00000235169"
"75","ENSG00000130764.9","ENSG00000130764"
"76","ENSG00000116198.12","ENSG00000116198"
"77","ENSG00000169598.15","ENSG00000169598"
"78","ENSG00000198912.10","ENSG00000198912"
"79","ENSG00000196581.10","ENSG00000196581"
"80","ENSG00000131697.17","ENSG00000131697"
"81","ENSG00000069424.14","ENSG00000069424"
"82","ENSG00000116254.17","ENSG00000116254"
"83","ENSG00000116251.9","ENSG00000116251"
"84","ENSG00000158286.12","ENSG00000158286"
"85","ENSG00000116237.15","ENSG00000116237"
"86","ENSG00000173673.7","ENSG00000173673"
"87","ENSG00000158292.6","ENSG00000158292"
"88","ENSG00000097021.19","ENSG00000097021"
"89","ENSG00000069812.11","ENSG00000069812"
"90","ENSG00000187017.15","ENSG00000187017"
"91","ENSG00000215788.9","ENSG00000215788"
"92","ENSG00000171680.21","ENSG00000171680"
"93","ENSG00000162408.10","ENSG00000162408"
"94","ENSG00000173662.20","ENSG00000173662"
"95","ENSG00000204859.12","ENSG00000204859"
"96","ENSG00000162413.16","ENSG00000162413"
"97","ENSG00000116273.5","ENSG00000116273"
"98","ENSG00000041988.15","ENSG00000041988"
"99","ENSG00000007923.15","ENSG00000007923"
"100","ENSG00000171735.18","ENSG00000171735"
"101","ENSG00000049245.12","ENSG00000049245"
"102","ENSG00000049246.14","ENSG00000049246"
"103","ENSG00000049247.13","ENSG00000049247"
"104","ENSG00000049249.8","ENSG00000049249"
"105","ENSG00000116288.12","ENSG00000116288"
"106","ENSG00000116285.12","ENSG00000116285"
"107","ENSG00000162426.14","ENSG00000162426"
"108","ENSG00000142599.17","ENSG00000142599"
"109","ENSG00000074800.13","ENSG00000074800"
"110","ENSG00000131686.14","ENSG00000131686"
"111","ENSG00000197241.3","ENSG00000197241"
"112","ENSG00000142583.17","ENSG00000142583"
"113","ENSG00000180758.11","ENSG00000180758"
"114","ENSG00000049239.12","ENSG00000049239"
"115","ENSG00000171621.13","ENSG00000171621"
"116","ENSG00000171612.6","ENSG00000171612"
"117","ENSG00000188807.12","ENSG00000188807"
"118","ENSG00000171608.15","ENSG00000171608"
"119","ENSG00000171603.16","ENSG00000171603"
"120","ENSG00000178585.14","ENSG00000178585"
"121","ENSG00000162441.11","ENSG00000162441"
"122","ENSG00000173614.13","ENSG00000173614"
"123","ENSG00000162444.11","ENSG00000162444"
"124","ENSG00000130939.18","ENSG00000130939"
"125","ENSG00000054523.17","ENSG00000054523"
"126","ENSG00000142657.20","ENSG00000142657"
"127","ENSG00000175279.21","ENSG00000175279"
"128","ENSG00000241563.3","ENSG00000241563"
"129","ENSG00000160049.11","ENSG00000160049"
"130","ENSG00000142655.12","ENSG00000142655"
"131","ENSG00000130940.14","ENSG00000130940"
"132","ENSG00000175262.14","ENSG00000175262"
"133","ENSG00000120948.16","ENSG00000120948"
"134","ENSG00000009724.16","ENSG00000009724"
"135","ENSG00000116649.9","ENSG00000116649"
"136","ENSG00000171824.13","ENSG00000171824"
"137","ENSG00000198793.12","ENSG00000198793"
"138","ENSG00000171819.4","ENSG00000171819"
"139","ENSG00000120942.13","ENSG00000120942"
"140","ENSG00000204624.7","ENSG00000204624"
"141","ENSG00000116661.9","ENSG00000116661"
"142","ENSG00000132879.13","ENSG00000132879"
"143","ENSG00000116663.10","ENSG00000116663"
"144","ENSG00000116670.14","ENSG00000116670"
"145","ENSG00000162490.6","ENSG00000162490"
"146","ENSG00000177674.15","ENSG00000177674"
"147","ENSG00000215910.7","ENSG00000215910"
"148","ENSG00000177000.10","ENSG00000177000"
"149","ENSG00000011021.21","ENSG00000011021"
"150","ENSG00000175206.10","ENSG00000175206"
"151","ENSG00000120937.8","ENSG00000120937"
"152","ENSG00000116685.15","ENSG00000116685"
"153","ENSG00000083444.16","ENSG00000083444"
"154","ENSG00000116688.16","ENSG00000116688"
"155","ENSG00000116691.10","ENSG00000116691"
"156","ENSG00000120949.14","ENSG00000120949"
"157","ENSG00000028137.18","ENSG00000028137"
"158","ENSG00000048707.13","ENSG00000048707"
"159","ENSG00000162496.8","ENSG00000162496"
"160","ENSG00000204518.2","ENSG00000204518"
"161","ENSG00000188984.11","ENSG00000188984"
"162","ENSG00000157330.9","ENSG00000157330"
"163","ENSG00000116726.4","ENSG00000116726"
"164","ENSG00000116721.9","ENSG00000116721"
"165","ENSG00000239810.3","ENSG00000239810"
"166","ENSG00000179172.9","ENSG00000179172"
"167","ENSG00000120952.4","ENSG00000120952"
"168","ENSG00000243073.3","ENSG00000243073"
"169","ENSG00000187545.5","ENSG00000187545"
"170","ENSG00000204510.5","ENSG00000204510"
"171","ENSG00000232423.6","ENSG00000232423"
"172","ENSG00000274764.5","ENSG00000274764"
"173","ENSG00000277058.2","ENSG00000277058"
"174","ENSG00000229571.7","ENSG00000229571"
"175","ENSG00000275774.2","ENSG00000275774"
