gene.id,Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Brain Cerebellum,Brain Cortex,Breast,Colon Sigmoid,Colon Transverse,GE junction,Esophagus Mucosa,Esophagus Muscle,Heart Atrial,Heart Ventricle,Liver,Lung,Minor Salivary,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Unexpo,Skin SunExpo,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
ENSG00000188976,5.76,5.42,5.675,5.58,6.4,5.95,5.945,5.8,5.755,5.78,7.105,6.42,5.92,5.98,6.17,5.82,6.76,6.51,5.65,5.49,6.26,6.06,6.085,6.7,6.265,5.89,5.83,5.825,6.41,5.88,5.75,6
ENSG00000187961,3.16,3.4,3.915,3.7,4.64,4.015,3.695,3.9,3.975,4.03,3.37,3.25,2.685,2.59,3.6,4.005,4.49,2.395,3.65,0.42,3.615,4.15,4.185,5.1,4.245,3.9,4.37,3.815,4.79,3.915,3.62,4.52
ENSG00000187642,-1.53,-1.55,1.215,-1.26,-3.41,-1.395,-0.68,-2.33,-1.09,-2.14,2.955,-2.14,6.32,7.36,-0.84,0.015,2.5,4.795,-2.2,-5.3,-1.575,-3.12,1.33,5.66,4.545,-1.52,-0.7,-0.45,0.55,-1.4,-0.91,1.765
ENSG00000187608,3.9,5.36,5.425,6.03,2.29,5.235,5.35,5.43,5.405,4.88,5.175,4.21,4.5,4.33,6.24,4.97,4.01,3.755,5.68,1.65,3.885,3.905,4.655,2.53,3.585,5.14,5.93,5.505,2.81,5.015,3.64,4.395
ENSG00000188157,2.4,4.49,4.95,4.7,2.99,6.4,5.015,4.805,4.975,4.8,5.645,3.24,3.56,3.59,5.62,5.745,5.81,3.065,4.63,3.43,5.705,3.77,5.6,4.76,5.045,4.52,3.43,5.075,4.61,6.15,3.7,4.99
ENSG00000078808,7.59,7.85,6.815,7.83,7.73,7.18,7.34,7.055,7.53,7.25,7.05,7.16,7.69,7.24,8.13,7.11,7.25,6.47,7.52,6.93,7.445,7.23,7.375,6.9,6.995,7.48,7,7.525,7.4,7.28,6.98,7.14
ENSG00000160087,4.71,4.76,4.505,4.67,4.58,4.595,4.185,4.445,4.395,4.55,5.035,4.73,4.685,4.38,4.73,4.815,4.62,4.44,4.84,3.96,4.89,4.57,4.565,5.47,5.075,4.56,4.94,4.52,5.9,4.86,4.4,4.155
ENSG00000131584,5.35,4.88,5.275,5.33,8.69,7.27,5.305,6.355,5.66,6.08,5.36,5.21,5.815,5.83,5.92,5.39,5.73,5.795,6.45,5.31,5.02,6.855,5.645,7.52,7.21,5.43,5.53,5.37,4.13,5.41,6.03,6.415
ENSG00000169972,4.42,3.67,3.585,4.09,4.16,4.005,3.525,3.605,3.41,3.72,5.26,3.64,4.285,3.91,4.4,3.835,4.84,3.3,4.15,3.49,4.43,4.32,4.13,5.26,4.53,3.52,3.87,3.785,4.39,3.835,4.08,4.18
ENSG00000127054,5.29,6.2,6.24,5.94,6.34,5.54,5.245,6.175,5.645,5.93,5.325,5.62,5.19,5.87,5.74,5.465,5.63,6.185,5.87,6.25,5.895,5.735,5.8,6.19,5.89,5.55,5.68,5.53,5.87,6.06,6.64,5.805
ENSG00000224051,4.69,4.6,4.795,4.75,4.27,5.095,4.475,4.39,4.985,4.47,5.5,3.69,5.685,7.32,6.08,4.58,5.14,5.25,4.77,4.12,4.74,3.15,4.745,6.05,5.785,4.69,4.88,5.575,6.44,4.56,4.44,4.565
ENSG00000169962,0.41,-1.09,-0.315,-1.17,1.16,0.2,-0.32,-0.665,1.37,-0.18,0.495,-0.74,0.15,0.58,0.3,1.65,1.64,1.055,0.28,0.02,-1.06,2.735,0.005,-0.45,-0.18,1.48,2.22,0.36,1.03,0.45,0.08,0.325
ENSG00000107404,5.92,5.78,6.285,5.93,6.09,6.725,5.5,6.16,5.735,5.85,6.46,6.36,5.99,6.47,5.99,5.515,6.65,7.885,6.59,5.75,6.63,5.86,5.69,6.94,6.365,5.48,5.52,6.065,6.19,6.225,5.88,5.935
ENSG00000162576,4.43,8.02,7.25,7.42,2.75,4.22,6.83,6.805,6.07,6.57,4.46,4.85,5.785,5.6,4.25,7.195,5.17,6.005,8.84,6.92,4.305,4.815,5.96,4.04,7.1,5.29,6.08,5.345,5.09,7.025,6.81,6.85
ENSG00000175756,7.15,6.26,5.815,6.32,6.09,6.89,6.225,6.515,6.57,6.35,6.55,6.58,7.585,7.82,7.32,6.1,6.39,7.045,6.1,5.38,6.605,6.38,6.195,6.8,6.27,6.25,6.23,6.61,8.06,6.25,5.72,6.05
ENSG00000221978,6.71,7.22,7.815,7.06,6.95,5.825,6.64,6.875,6.615,6.67,5.58,6.69,6.36,6.58,7.92,7.34,6.44,6.875,7.46,7.04,7.32,6.49,6.91,7.61,7.095,6.82,7.6,6.39,5.18,7.705,7.07,6.705
ENSG00000242485,6.39,6.34,5.845,6.4,5.48,6.235,5.99,6.23,5.85,6.05,6.755,6.71,6.9,7.19,6.46,6.01,5.93,6.925,5.95,5.48,6.495,6.26,6.045,6.2,6.095,5.82,5.97,5.915,5.61,6.085,5.36,5.67
ENSG00000179403,3.26,3.71,5.14,4.45,2.82,5.36,4.785,6.375,4.54,6.04,5.515,7.33,4.39,3.34,6.05,4.925,4.78,3.215,7.28,3.29,4.755,2.905,5.785,3.99,4.245,4.16,2.69,4.465,3.76,5.455,3.92,5.115
ENSG00000215915,-2,-0.04,0.9,-1.88,-0.02,2.02,0.825,1.56,0.21,1.5,-0.345,1.69,0.09,-1.66,3,2.225,0.92,-1.55,1.72,0.44,2.955,1.73,2.74,0.22,0.115,0.4,-0.57,-0.04,0.78,2.54,-0.33,0.68
ENSG00000197785,4.54,3.97,3.865,3.62,3.45,3.91,3.43,3.355,3.55,3.52,5.165,4.21,4.665,4.25,4.96,4.1,4.74,3.99,3.95,2.87,4.655,5.21,3.88,4.94,4.055,3.57,4.16,3.51,3.76,4.095,3.32,3.7
ENSG00000160075,5.53,5.34,5.275,5.45,5.55,5.82,5.3,5.375,5.45,5.29,5.97,5.4,5.8,5.7,5.55,5.56,5.52,6.205,5.25,4.97,5.95,5.71,5.47,6.17,5.785,5.54,5.73,5.46,5.29,5.75,5.01,5.175
ENSG00000197530,4.61,5.08,5.285,5.04,5.74,5.78,4.69,5.29,5.285,5.17,5.255,4.25,5,5.66,5.23,4.925,5.38,5.83,5.53,5.74,4.73,6.16,5.535,6.45,5.7,4.66,4.97,4.82,5.01,5.715,5.17,5.185
ENSG00000189409,-1.24,1.24,2.055,-0.21,-2.13,-2.65,-0.345,-0.225,-0.335,0.84,-2.15,-0.96,1.515,0.45,-1.74,1.035,-3.38,-1.345,-1.08,1.54,-3.03,-0.68,0.94,-0.53,-0.715,-1.46,-1.35,-0.08,-0.91,-0.95,-0.01,1.445
ENSG00000248333,4.55,4.83,4.78,4.77,4.84,4.79,4.52,4.985,5.07,4.9,4.86,5.34,4.515,5.35,4.96,4.78,4.41,5.65,4.71,4.27,5.09,4.68,4.505,5.43,5,5.28,5.17,4.72,5.42,4.69,4.65,4.385
ENSG00000008128,3.94,4.3,4.675,3.92,4.31,3.55,4.02,4.15,4.475,4.07,3.75,4.12,3.735,3.78,5.17,4.675,4.09,4.07,4.09,3.59,4.46,4,4.285,5.15,4.135,5.11,5.37,4.235,4.42,4.805,4.23,4.145
ENSG00000008130,6.31,5.2,5.655,5.09,4.41,4.555,5.375,4.915,5.57,5.37,4.73,5.59,4.735,4.26,6.67,5.59,5.48,4.05,5.25,4.74,5.205,4.705,5.245,4.63,5.005,5.61,6.56,5.39,5.17,5.245,4.6,4.815
ENSG00000078369,7.55,8.16,7.7,7.81,8.25,8.755,7.67,7.715,7.605,7.75,7.35,7.58,7.27,7.03,6.82,7.595,7.33,6.38,7.49,7.3,6.905,7.615,7.28,6.98,7.345,7.84,7.4,7.53,7.01,7.2,7.35,7.445
ENSG00000187730,0.3,-0.72,-0.58,-1.13,8.22,6.175,-0.78,-2.28,-1.495,-1.7,0.84,-1.84,-2.595,0.25,-0.81,0.815,-1.98,-1.1,-0.99,-3.16,-5.26,-0.075,-1.115,-1.58,0.37,-1.71,-1.59,-1.74,2.1,0.495,-1.76,-1.995
ENSG00000067606,2.58,-2.26,-2.59,-0.81,6.25,5.235,0.445,0.96,2.62,-0.03,3.275,-0.29,2.86,2.26,3.03,4.27,2.62,-1.495,-1.15,1.16,3.1,3.96,2.65,2.59,3.1,2.97,2.94,2.435,4.67,3.945,-0.41,1.87
ENSG00000157933,4.4,6.71,6.63,6.72,7.29,5.21,5.72,5.755,5.03,6.01,5.025,5.88,6.16,5.24,4.66,5.655,5.49,4.83,6.3,5.18,4.56,4.935,5.3,5.97,6.28,5.17,5.53,4.76,4.49,5.755,5.5,5.43
ENSG00000157916,6.57,5.85,5.79,5.72,5.28,5.265,5.545,5.425,5.865,5.55,6.535,5.59,5.68,5.63,7.05,6.19,5.85,5.645,5.89,5.48,6.47,5.825,5.805,6.42,6.14,6.16,6.13,6.06,6.12,5.85,5.48,5.805
ENSG00000149527,3.83,-0.76,-1.445,-0.02,7.37,5.835,3.945,1.15,2.42,-0.92,4.525,-1.28,-2.745,-2.61,2.19,2.045,6.84,-0.715,0.11,-0.82,2.235,4.835,5.91,7.96,6.78,2.29,3.23,2.275,2.41,1.605,-0.38,6.305
ENSG00000157881,4.25,3.54,3.695,3.82,4.84,4.42,4.195,4.32,4.095,4.21,3.55,4.65,5.095,5.57,4.09,4,4.45,4.975,3.95,3.63,3.41,4.33,4.11,3.75,3.835,4.19,4.28,4.04,3.83,4.195,3.98,4.19
ENSG00000157873,6.28,5.28,5.68,5.69,2.69,4.255,6.24,6.095,6.77,5.76,4.465,4.92,4.51,4.05,6.81,7.08,5.42,4.2,6.75,5.57,4.88,4.915,6.71,5.68,6.435,6.45,7.54,6.225,3.65,5.905,5.77,6.11
ENSG00000157870,4.97,2.36,3.455,3.68,4.48,5.73,4,4.15,4.98,3.99,4.22,4.54,3.57,2.98,3.42,4.405,3.85,2.235,4.76,2.76,3.355,3.67,4.065,3.9,4.245,4.77,4.77,4.37,3.71,4.13,3.34,3.82
ENSG00000169717,-8.04,-8.88,-2.865,-8.29,-4.58,-5.405,-6.245,-7.955,-4.6,-7.15,-7.775,-7.65,-3.15,-5.06,-4.24,-5.175,-9.51,-5.205,-5.31,-4.04,-5.625,-6.66,-6.9,-6.41,-7.425,-8.36,-5.36,-7.16,7.79,-5.68,-4.28,-6.235
ENSG00000142611,-3.08,5.08,5.475,4.64,-2.55,2.105,-0.22,0.405,-0.65,0.3,-0.315,0.69,0.335,3.79,-1.53,1.91,-2.07,-0.555,3.86,-1.71,3.225,-2.89,-1.475,-3.24,0.45,-0.08,-0.2,3.235,-0.72,3.64,-0.9,-0.595
