Row,deltaFPmat1,deltaFPmat2,deltaFPmat3,deltaFPmat4,deltaFPmat5,deltaFPmat6,deltaFPmat7,deltaFPmat8,deltaFPmat9,deltaFPmat10,deltaFPmat11,deltaFPmat12,deltaFPmat13,deltaFPmat14,deltaFPmat15,deltaFPmat16,deltaFPmat17,deltaFPmat18,deltaFPmat19,deltaFPmat20,deltaFPmat21,deltaFPmat22,deltaFPmat23
"17alpha-hydroxyprogesterone-Adrenal Gland",0.994706986843863,1.00088817461218,1,1,1.00000001615226,1.00000007575288,1,1.00000008028525,1.00000003280059,1.00004062189074,1.000000004,1.00000100000644,1.0000000318046,1.00000562344484,1.00000002820777,1.00009951626309,1.00003021601356,1.00006325001806,1.00000562264893,1.00003162610105,1.00003824740855,1.00000197797173,1.00003720467229
"17alpha-hydroxypregnenolone-Adrenal Gland",0.994706986843863,1.00098392998053,1.00000006324342,1.00000000120942,1.00000299585849,1.00002177866496,1.00003162377563,1.00003162395347,1.00000003280059,1.00000100011845,1.00000017782797,1.000001000001,1.00003162405803,1.00003053521034,1.0000316293994,1.00009951626309,1.00000673463857,1.00003146281337,1.00003959357931,1.00003162610105,1.00003121738587,1.0000145831633,1.00002781152356
"3,4-dihydroxyphenylethyleneglycol-Adrenal Gland",0,0.0010236007022735,-0.000759848892838422,-0.0206620915604312,-0.0226613103272821,-0.0208213983000945,-0.0150819055364131,-0.0137080604119399,-0.0134903383530866,0.00940280579656727,0.0267136099548794,0.0267480128648202,0.0267480472934586,0.0267480473278872,0.0267480473278872,0.0267480481733425,0.0267480481733425,0.0267488927753691,0.0267480473867483,0.0267480473279217,0.0267576131557689,0.0267480473279217,0.0267480473279217
"6-hydroxymelatonin-Adrenal Gland",0,0.000139312767021615,1.17422245267118e-05,1.17372644701241e-05,9.58133261796945e-06,8.01827322438609e-06,8.01562009522527e-06,8.01561743501988e-06,8.0156174375734e-06,8.01561696506248e-06,8.01558812180136e-06,8.0156168785761e-06,0.000213011152128684,0.00114102036388919,7.98347996899818e-06,7.98347991615156e-06,7.98347991748383e-06,7.9810165203309e-06,7.98348156327844e-06,3.20771521195029e-05,0.052994739639319,0.00537604659676216,0.00169146723368629
"provitamin D3-Adrenal Gland",0.746340774531173,0.621445042315386,0.746340774503867,0.74634068824661,0.746254630299338,0.699386834577563,0.65267952283392,0.652573696696277,0.639195427604267,0.571841768831606,0.57142865162244,0.571428135017942,0.571428134403612,0.571431730815178,0.571706422030302,0.575743056315324,0.576563961060401,0.577113473412955,0.612570342937949,0.612588083227095,0.612566249746589,0.612579481235331,0.612568444370637
"androstenediol-Adrenal Gland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cholesterol-sulfate-Adrenal Gland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cis-erucic acid-Adrenal Gland",0.607709374103868,0.268577410134264,0.607709373870229,0.607709373908655,0.607709178626854,0.607525274748832,0.501389042330263,0.102261909880245,0.209790873359038,0.187531092667222,0.188480471534568,0.23213160936942,0.256059016968596,0.317088563750952,0.311423207939509,0.190603789357674,0.19057814745058,0.171136367602573,0.208486485811678,0.211174185598367,0.211682741601755,0.212570057310728,0.157627400430834
"estriol-Adrenal Gland",0,1.27805789298385e-05,2.22044604925031e-16,1.22284404824313e-11,2.22044604925031e-16,0,2.22044604925031e-16,0.00681686019499084,0,0,0,0,0,8.891420932855e-11,0,0,0,0,0,0,2.99097100420198e-08,6.83839859405566e-07,8.16755732180319e-06
"4-aminobutyrate-Adrenal Gland",0.218178878093455,0.0904316060320746,0.218178550384352,0.218014624033098,0.184590517506334,0.178622684360577,0.178067139089676,0.119548810355337,0.0743656138197587,0.0747892893585438,0.0747932377248933,0.0747929410074781,0.0747935257951809,0.0747931491864161,0.0747932420565656,0.0747931665149412,0.0747944026261201,0.074793241886603,0.0747931757195104,0.0747932420565656,0.0747932428975417,0.0747935144470174,0.0747933283609553
