Row,countMat_enri1,countMat_enri2,countMat_enri3,countMat_enri4,countMat_enri5,countMat_enri6,countMat_enri7,countMat_enri8,countMat_enri9,countMat_enri10,countMat_enri11,countMat_enri12,countMat_enri13,countMat_enri14,countMat_enri15,countMat_enri16,countMat_enri17,countMat_enri18,countMat_enri19,countMat_enri20,countMat_enri21,countMat_enri22,countMat_enri23,countMat_enri24,countMat_enri25,countMat_enri26,countMat_enri27,countMat_enri28,countMat_enri29,countMat_enri30,countMat_enri31,countMat_enri32
"Acyl-CoA hydrolysis",0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0.333333333333333,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0
"Acylglycerides metabolism",0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1,0.333333333333333,0,0,0,0.333333333333333,0,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.666666666666667,0,1,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0
"Alanine, aspartate and glutamate metabolism",0,0,0,0.05,0.7,0.9,0.05,0,0,0,0,0,0.35,0.5,1,0.05,0.05,0.55,0.15,0.05,0.25,0.15,0.2,0.05,0.1,0,0,0.35,0.15,0.05,0.05,0
"Amino sugar and nucleotide sugar metabolism",0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0.818181818181818,0,0.0909090909090909,0,0,0,1,0,0.0909090909090909,0,0,0,0.545454545454545,0.272727272727273,0.181818181818182,0,0,0.363636363636364,0.363636363636364,0.363636363636364,0.272727272727273,0,0,0
"Aminoacyl-tRNA biosynthesis",0.263157894736842,0,0,0,0.210526315789474,0.421052631578947,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,1,0.105263157894737,0,0,0,0,0,0.368421052631579,0.0526315789473684,0,0,0
"Androgen metabolism",1,0,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0,0.181818181818182,0,0,0,0,0,0.0909090909090909,0,0,0.363636363636364,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0
"Arachidonic acid metabolism",0.232558139534884,0,0.162790697674419,0.0232558139534884,0,0.0465116279069767,0.0465116279069767,0,0,0,0.511627906976744,0,0.13953488372093,0.13953488372093,1,0.255813953488372,0.0930232558139535,0.162790697674419,0,0.0465116279069767,0.0930232558139535,0,0.0232558139534884,0.27906976744186,0.13953488372093,0.0465116279069767,0.558139534883721,0,0.186046511627907,0.0465116279069767,0.0232558139534884,0.581395348837209
"Arginine and proline metabolism",0.148148148148148,0.148148148148148,0.0740740740740741,0.111111111111111,0.222222222222222,0.62962962962963,0.037037037037037,0.0740740740740741,0,0.0740740740740741,0.037037037037037,0.0740740740740741,0.259259259259259,0.555555555555556,1,0.037037037037037,0.0740740740740741,0.148148148148148,0.148148148148148,0,0.148148148148148,0,0.037037037037037,0,0,0.222222222222222,0.0740740740740741,0.0740740740740741,0.185185185185185,0,0,0.037037037037037
"Artificial reactions",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.25,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"Ascorbate and aldarate metabolism",0.6,0,0,0,0,0.2,0,0,0,0,0,0,0.4,0.6,1,0,0,0.6,0,0,0.4,0,0.2,0,0,0.2,0,0.2,0.2,0,0,0
"Beta oxidation of branched-chain fatty acids (mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0.157894736842105,0.157894736842105,1,0,0,0.157894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
